dataset,features,recall+,prec+,acc+,F1+,AOD-,EOD-,SPD-,FA0-,FA1-,feature
CleanCOMPAS53,1_race(,0.92,0.73,0.82,0.78,0.07,0.11,0.17,0.25,0.32,1_race(
CleanCOMPAS53,1_sex(,0.92,0.73,0.82,0.78,-0.01,0.01,0.09,0.2,0.32,1_sex(
CleanCOMPAS53,2_race(,0.95,0.86,0.88,0.86,0.06,0.06,0.15,0.12,0.25,2_race(
CleanCOMPAS53,2_sex(,0.95,0.86,0.88,0.86,0.01,0.01,0.11,0.17,0.16,2_sex(
CleanCOMPAS53,3_race(,0.95,0.96,0.94,0.93,0.03,0.0,0.13,0.03,0.04,3_race(
CleanCOMPAS53,3_sex(,0.95,0.96,0.94,0.93,0.02,0.01,0.11,0.0,0.04,3_sex(
CleanCOMPAS53,5_race(,0.95,0.89,0.92,0.91,0.03,0.04,0.11,0.12,0.17,5_race(
CleanCOMPAS53,5_sex(,0.95,0.89,0.92,0.91,-0.02,0.0,0.12,0.17,0.14,5_sex(
CleanCOMPAS53,761_race(,0.85,0.84,0.86,0.84,0.01,0.03,0.09,0.15,0.17,761_race(
CleanCOMPAS53,761_sex(,0.85,0.84,0.86,0.84,-0.04,-0.03,0.13,0.19,0.16,761_sex(
