dataset,features,recall+,prec+,acc+,F1+,AOD-,EOD-,SPD-,FA0-,FA1-,feature
CleanCOMPAS53,1_sex(,0.9,0.74,0.81,0.78,-0.03,0.0,0.05,0.25,0.26,1_sex(
CleanCOMPAS53,1_race(,0.9,0.74,0.81,0.78,0.07,0.07,0.12,0.24,0.32,1_race(
CleanCOMPAS53,2_sex(,0.93,0.79,0.87,0.85,-0.01,0.0,0.04,0.29,0.2,2_sex(
CleanCOMPAS53,2_race(,0.93,0.79,0.87,0.85,0.02,0.02,0.1,0.18,0.29,2_race(
CleanCOMPAS53,3_sex(,0.93,0.82,0.89,0.87,0.0,0.0,0.08,0.2,0.17,3_sex(
CleanCOMPAS53,3_race(,0.93,0.82,0.89,0.87,0.02,0.02,0.1,0.16,0.16,3_race(
CleanCOMPAS53,5_sex(,0.94,0.86,0.9,0.89,-0.02,0.0,0.05,0.13,0.14,5_sex(
CleanCOMPAS53,5_race(,0.94,0.86,0.9,0.89,0.03,0.03,0.11,0.11,0.14,5_race(
CleanCOMPAS53,767_sex(,0.98,1.0,0.99,0.99,0.0,0.0,0.08,0.0,0.0,767_sex(
CleanCOMPAS53,767_race(,0.98,1.0,0.99,0.99,0.0,0.0,0.11,0.0,0.0,767_race(
