recall+,precision+,accuracy+,F1_Score+,AOD-,EOD-,SPD-,FA0-,FA1-,feature,sample_size,fold,run_num
1.0,1.0,1.0,1.0,0.0,0.0,0.05,0.0,0.0,sex(,27,1,1
1.0,1.0,1.0,1.0,0.0,0.0,0.28,0.0,0.0,Age(,27,1,1
1.0,1.0,1.0,1.0,0.0,0.0,0.12,0.0,0.0,race(,27,1,1
0.99,0.97,0.98,0.98,0.04,0.04,0.13,0.0,0.04,sex(,27,2,1
0.99,0.97,0.98,0.98,0.01,0.01,0.07,0.03,0.04,Age(,27,2,1
0.99,0.97,0.98,0.98,-0.01,-0.04,0.13,0.04,0.0,race(,27,2,1
1.0,0.99,0.99,0.99,-0.04,-0.09,0.19,0.09,0.0,sex(,27,3,1
1.0,0.99,0.99,0.99,-0.01,-0.02,0.12,0.02,0.0,Age(,27,3,1
1.0,0.99,0.99,0.99,-0.01,-0.02,0.07,0.02,0.0,race(,27,3,1
1.0,0.97,0.99,0.98,0.02,0.03,0.18,0.0,0.03,sex(,27,4,1
1.0,0.97,0.99,0.98,-0.02,-0.04,0.07,0.04,0.0,Age(,27,4,1
1.0,0.97,0.99,0.98,-0.02,-0.03,0.11,0.03,0.0,race(,27,4,1
1.0,0.95,0.98,0.97,-0.02,-0.03,0.16,0.07,0.04,sex(,27,5,1
1.0,0.95,0.98,0.97,-0.01,-0.02,0.23,0.05,0.03,Age(,27,5,1
1.0,0.95,0.98,0.97,-0.0,-0.01,0.01,0.05,0.04,race(,27,5,1
1.0,0.99,0.99,0.99,0.0,0.01,0.12,0.0,0.01,sex(,27,6,1
1.0,0.99,0.99,0.99,-0.0,-0.01,0.08,0.01,0.0,Age(,27,6,1
1.0,0.99,0.99,0.99,0.02,0.03,0.02,0.0,0.03,race(,27,6,1
1.0,0.99,0.99,0.99,0.01,0.02,0.19,0.0,0.02,sex(,27,7,1
1.0,0.99,0.99,0.99,-0.01,-0.02,0.14,0.02,0.0,Age(,27,7,1
1.0,0.99,0.99,0.99,-0.01,-0.02,0.01,0.02,0.0,race(,27,7,1
0.99,0.95,0.97,0.97,0.03,0.07,0.03,0.0,0.07,sex(,27,8,1
0.99,0.95,0.97,0.97,-0.01,-0.03,0.15,0.06,0.03,Age(,27,8,1
0.99,0.95,0.97,0.97,0.04,0.05,0.2,0.04,0.1,race(,27,8,1
1.0,0.99,0.99,0.99,0.0,0.01,0.12,0.0,0.01,sex(,27,9,1
