recall+,precision+,accuracy+,F1_Score+,AOD-,EOD-,SPD-,FA0-,FA1-,feature,sample_size,fold,run_num
0.0,0.0,0.77,0.0,0.0,0.0,0.0,1.0,1.0,LIMIT_BAL(,28,1,1
0.0,0.0,0.77,0.0,0.0,0.0,0.0,1.0,1.0,SEX(,28,1,1
0.0,0.0,0.77,0.0,0.0,0.0,0.0,1.0,1.0,EDUCATION(,28,1,1
0.0,0.0,0.77,0.0,0.0,0.0,0.0,1.0,1.0,MARRIAGE(,28,1,1
0.0,0.0,0.77,0.0,0.0,0.0,0.0,1.0,1.0,AGE(,28,1,1
0.0,0.0,0.76,0.0,0.0,0.0,0.0,1.0,1.0,LIMIT_BAL(,28,2,1
0.0,0.0,0.76,0.0,0.0,0.0,0.0,1.0,1.0,SEX(,28,2,1
0.0,0.0,0.76,0.0,0.0,0.0,0.0,1.0,1.0,EDUCATION(,28,2,1
0.0,0.0,0.76,0.0,0.0,0.0,0.0,1.0,1.0,MARRIAGE(,28,2,1
0.0,0.0,0.76,0.0,0.0,0.0,0.0,1.0,1.0,AGE(,28,2,1
1.0,0.02,0.78,0.04,-0.02,-0.03,0.01,1.0,0.97,LIMIT_BAL(,28,3,1
1.0,0.02,0.78,0.04,0.02,0.04,0.01,0.96,1.0,SEX(,28,3,1
1.0,0.02,0.78,0.04,-0.01,-0.02,0.01,1.0,0.98,EDUCATION(,28,3,1
1.0,0.02,0.78,0.04,-0.02,-0.05,0.01,1.0,0.95,MARRIAGE(,28,3,1
1.0,0.02,0.78,0.04,0.02,0.03,0.01,0.97,1.0,AGE(,28,3,1
1.0,0.02,0.78,0.04,0.06,0.12,0.05,0.88,1.0,LIMIT_BAL(,28,4,1
1.0,0.02,0.78,0.04,-0.02,-0.04,0.01,1.0,0.96,SEX(,28,4,1
1.0,0.02,0.78,0.04,0.06,0.12,0.03,0.88,1.0,EDUCATION(,28,4,1
1.0,0.02,0.78,0.04,-0.02,-0.05,0.01,1.0,0.95,MARRIAGE(,28,4,1
1.0,0.02,0.78,0.04,-0.06,-0.12,0.04,1.0,0.88,AGE(,28,4,1
1.0,0.02,0.74,0.04,-0.01,-0.02,0.01,1.0,0.98,LIMIT_BAL(,28,5,1
1.0,0.02,0.74,0.04,-0.02,-0.04,0.01,1.0,0.96,SEX(,28,5,1
1.0,0.02,0.74,0.04,-0.01,-0.02,0.01,1.0,0.98,EDUCATION(,28,5,1
1.0,0.02,0.74,0.04,-0.02,-0.05,0.01,1.0,0.95,MARRIAGE(,28,5,1
1.0,0.02,0.74,0.04,0.01,0.02,0.01,0.98,1.0,AGE(,28,5,1
