recall,precision,accuracy,F1 Score,AOD,EOD,SPD,feature,sample size
0.93,0.99,0.96,0.96,-0.04,0.01,0.34,sex(,1
0.93,0.99,0.96,0.96,-0.04,-0.01,0.13,Age(,1
0.93,0.99,0.96,0.96,0.02,-0.02,0.06,race(,1
0.98,1.0,0.99,0.99,-0.01,0.0,0.07,sex(,2
0.98,1.0,0.99,0.99,0.01,0.0,0.22,Age(,2
0.98,1.0,0.99,0.99,-0.02,0.0,0.18,race(,2
0.96,1.0,0.98,0.98,-0.02,0.0,0.12,sex(,3
0.96,1.0,0.98,0.98,-0.0,0.0,0.09,Age(,3
0.96,1.0,0.98,0.98,0.02,0.0,0.21,race(,3
0.95,1.0,0.98,0.97,-0.02,0.0,0.05,sex(,5
0.95,1.0,0.98,0.97,-0.02,0.0,0.18,Age(,5
0.95,1.0,0.98,0.97,0.02,0.0,0.11,race(,5
0.98,1.0,0.99,0.99,-0.01,0.0,0.18,sex(,957
0.98,1.0,0.99,0.99,-0.02,0.0,0.13,Age(,957
0.98,1.0,0.99,0.99,0.0,-0.0,0.04,race(,957
