recall+,precision+,accuracy+,F1_Score+,AOD-,EOD-,SPD-,FA0-,FA1-,feature,sample_size,total_pts,fold
0.43,0.72,0.76,0.54,0.26,0.43,0.2,0.57,1.0,sex(,1,32,1
0.38,0.72,0.8,0.5,0.22,0.38,,0.62,0.0,race(,1,32,1
0.46,0.55,0.72,0.5,0.32,0.46,0.26,0.54,1.0,sex(,1,32,2
0.36,0.55,0.74,0.44,0.24,0.36,,0.64,0.0,race(,1,32,2
0.16,0.6,0.7,0.25,0.11,0.16,0.09,0.84,1.0,sex(,1,32,3
0.13,0.6,0.76,0.21,0.08,0.13,,0.87,0.0,race(,1,32,3
0.09,0.5,0.69,0.15,0.06,0.09,0.05,0.91,1.0,sex(,1,32,4
0.07,0.5,0.76,0.12,0.05,0.07,,0.93,0.0,race(,1,32,4
0.16,1.0,0.78,0.28,0.08,0.16,0.04,0.84,1.0,sex(,1,32,5
0.15,1.0,0.84,0.26,0.08,0.15,,0.85,0.0,race(,1,32,5
0.0,0.0,0.65,0.0,0.0,0.0,0.0,1.0,1.0,sex(,1,32,6
0.0,0.0,0.7,0.0,0.0,0.0,,1.0,0.0,race(,1,32,6
0.74,0.47,0.69,0.57,0.54,0.74,0.45,0.26,1.0,sex(,1,32,7
0.63,0.47,0.76,0.54,0.42,0.63,,0.37,0.0,race(,1,32,7
0.0,0.0,0.73,0.0,0.0,0.0,0.0,1.0,1.0,sex(,1,32,8
0.0,0.0,0.79,0.0,0.0,0.0,,1.0,0.0,race(,1,32,8
0.0,0.0,0.63,0.0,0.0,0.0,0.0,1.0,1.0,sex(,1,32,9
0.0,0.0,0.71,0.0,0.0,0.0,,1.0,0.0,race(,1,32,9
0.41,0.85,0.84,0.55,0.22,0.41,0.12,0.59,1.0,sex(,1,32,10
0.32,0.85,0.86,0.46,0.16,0.32,,0.68,0.0,race(,1,32,10
0.1,1.0,0.68,0.18,0.05,0.1,0.03,0.9,1.0,sex(,1,32,11
0.08,1.0,0.76,0.15,0.04,0.08,,0.92,0.0,race(,1,32,11
0.39,0.8,0.82,0.52,0.2,0.39,0.11,0.61,1.0,sex(,1,32,12
0.32,0.75,0.84,0.45,0.18,0.32,,0.68,0.0,race(,1,32,12
0.31,0.69,0.75,0.43,0.12,0.19,0.13,0.69,0.88,sex(,1,32,13
0.28,0.71,0.8,0.4,0.16,0.28,,0.72,0.0,race(,1,32,13
0.4,0.67,0.78,0.5,0.24,0.4,0.17,0.6,1.0,sex(,1,32,14
