recall+,precision+,accuracy+,F1_Score+,AOD-,EOD-,SPD-,FA0-,FA1-,feature,sample_size,fold,run_num
0.52,0.33,0.49,0.4,-0.1,-0.06,0.1,0.71,0.65,sex(,39,1,1
0.52,0.33,0.49,0.4,-0.12,-0.05,0.11,0.68,0.63,Age(,39,1,1
0.52,0.33,0.49,0.4,0.04,0.0,0.04,0.66,0.67,race(,39,1,1
0.35,0.26,0.39,0.3,-0.07,-0.08,0.09,0.81,0.73,sex(,39,2,1
0.35,0.26,0.39,0.3,-0.12,-0.1,0.13,0.77,0.67,Age(,39,2,1
0.35,0.26,0.39,0.3,-0.06,-0.17,0.06,0.8,0.63,race(,39,2,1
0.34,0.25,0.41,0.29,-0.08,0.08,0.09,0.68,0.76,sex(,39,3,1
0.34,0.25,0.41,0.29,-0.05,0.01,0.06,0.74,0.75,Age(,39,3,1
0.34,0.25,0.41,0.29,0.14,0.2,0.13,0.68,0.87,race(,39,3,1
0.39,0.31,0.42,0.35,-0.12,-0.07,0.12,0.75,0.68,sex(,39,4,1
0.39,0.31,0.42,0.35,-0.03,0.08,0.03,0.67,0.75,Age(,39,4,1
0.39,0.31,0.42,0.35,0.08,0.11,0.09,0.66,0.76,race(,39,4,1
0.44,0.31,0.44,0.36,-0.18,-0.11,0.17,0.78,0.67,sex(,39,5,1
0.44,0.31,0.44,0.36,0.05,0.06,0.05,0.67,0.73,Age(,39,5,1
0.44,0.31,0.44,0.36,0.02,0.01,0.02,0.69,0.69,race(,39,5,1
0.36,0.23,0.39,0.28,-0.08,-0.07,0.08,0.82,0.75,sex(,39,6,1
0.36,0.23,0.39,0.28,-0.14,-0.07,0.11,0.79,0.71,Age(,39,6,1
0.36,0.23,0.39,0.28,0.06,0.11,0.06,0.73,0.84,race(,39,6,1
0.36,0.29,0.44,0.32,-0.13,-0.08,0.14,0.78,0.7,sex(,39,7,1
0.36,0.29,0.44,0.32,-0.08,-0.11,0.08,0.74,0.63,Age(,39,7,1
0.36,0.29,0.44,0.32,0.06,-0.04,0.06,0.73,0.68,race(,39,7,1
0.42,0.3,0.43,0.35,-0.16,-0.09,0.16,0.78,0.68,sex(,39,8,1
0.42,0.3,0.43,0.35,-0.04,-0.04,0.03,0.71,0.67,Age(,39,8,1
0.42,0.3,0.43,0.35,0.06,-0.0,0.06,0.7,0.7,race(,39,8,1
0.39,0.3,0.42,0.34,-0.12,-0.01,0.11,0.71,0.7,sex(,39,9,1
0.39,0.3,0.42,0.34,-0.01,0.14,0.04,0.67,0.81,Age(,39,9,1
0.39,0.3,0.42,0.34,0.0,-0.01,0.01,0.71,0.7,race(,39,9,1
0.46,0.3,0.45,0.36,-0.13,-0.08,0.13,0.76,0.68,sex(,39,10,1
0.46,0.3,0.45,0.36,-0.01,0.03,0.01,0.69,0.72,Age(,39,10,1
0.46,0.3,0.45,0.36,0.02,0.04,0.01,0.69,0.72,race(,39,10,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,sex(,39,11,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Age(,39,11,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,race(,39,11,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,sex(,39,12,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Age(,39,12,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,race(,39,12,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,sex(,39,13,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Age(,39,13,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,race(,39,13,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,sex(,39,14,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Age(,39,14,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,race(,39,14,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,sex(,39,15,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Age(,39,15,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,race(,39,15,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,sex(,39,16,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Age(,39,16,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,race(,39,16,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,sex(,39,17,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Age(,39,17,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,race(,39,17,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,sex(,39,18,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Age(,39,18,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,race(,39,18,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,sex(,39,19,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Age(,39,19,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,race(,39,19,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,sex(,39,20,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Age(,39,20,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,race(,39,20,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,sex(,39,21,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Age(,39,21,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,race(,39,21,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,sex(,39,22,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Age(,39,22,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,race(,39,22,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,sex(,39,23,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Age(,39,23,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,race(,39,23,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,sex(,39,24,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Age(,39,24,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,race(,39,24,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,sex(,39,25,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Age(,39,25,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,race(,39,25,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,sex(,39,26,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Age(,39,26,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,race(,39,26,1
0.36,0.09,0.43,0.14,-0.08,-0.01,0.07,0.92,0.91,sex(,5,1,1
0.36,0.09,0.43,0.14,0.01,0.05,0.02,0.9,0.95,Age(,5,1,1
0.36,0.09,0.43,0.14,0.06,-0.0,0.05,0.91,0.91,race(,5,1,1
0.33,0.16,0.43,0.22,-0.06,-0.11,0.07,0.94,0.82,sex(,5,2,1
0.33,0.16,0.43,0.22,-0.04,-0.05,0.04,0.86,0.81,Age(,5,2,1
0.33,0.16,0.43,0.22,0.02,-0.07,0.01,0.87,0.79,race(,5,2,1
0.46,0.46,0.49,0.46,-0.15,-0.01,0.15,0.55,0.54,sex(,5,3,1
0.46,0.46,0.49,0.46,-0.04,-0.02,0.05,0.55,0.52,Age(,5,3,1
0.46,0.46,0.49,0.46,0.06,0.09,0.06,0.51,0.6,race(,5,3,1
0.48,0.39,0.49,0.43,-0.19,-0.17,0.19,0.75,0.58,sex(,5,4,1
0.48,0.39,0.49,0.43,-0.09,-0.02,0.09,0.62,0.6,Age(,5,4,1
0.48,0.39,0.49,0.43,0.08,0.09,0.08,0.59,0.68,race(,5,4,1
0.5,0.42,0.48,0.46,-0.15,-0.13,0.15,0.69,0.55,sex(,5,5,1
0.5,0.42,0.48,0.46,-0.01,0.02,0.01,0.57,0.59,Age(,5,5,1
0.5,0.42,0.48,0.46,-0.06,-0.15,0.06,0.63,0.48,race(,5,5,1
0.38,0.17,0.43,0.23,-0.01,0.04,0.01,0.79,0.83,sex(,5,6,1
0.38,0.17,0.43,0.23,-0.12,-0.01,0.09,0.83,0.82,Age(,5,6,1
0.38,0.17,0.43,0.23,0.08,0.06,0.08,0.81,0.87,race(,5,6,1
0.44,0.45,0.49,0.44,-0.17,-0.13,0.17,0.66,0.52,sex(,5,7,1
0.44,0.45,0.49,0.44,-0.1,-0.13,0.09,0.58,0.45,Age(,5,7,1
0.44,0.45,0.49,0.44,0.08,0.02,0.08,0.54,0.56,race(,5,7,1
0.41,0.15,0.46,0.22,-0.14,-0.12,0.13,0.94,0.83,sex(,5,8,1
0.41,0.15,0.46,0.22,0.0,-0.02,0.0,0.86,0.84,Age(,5,8,1
0.41,0.15,0.46,0.22,0.04,-0.01,0.04,0.85,0.84,race(,5,8,1
0.47,0.42,0.47,0.44,-0.02,0.19,0.03,0.42,0.6,sex(,5,9,1
0.47,0.42,0.47,0.44,-0.04,0.08,0.05,0.55,0.64,Age(,5,9,1
0.47,0.42,0.47,0.44,-0.0,-0.02,0.0,0.58,0.57,race(,5,9,1
0.52,0.38,0.5,0.44,-0.22,-0.31,0.23,0.87,0.56,sex(,5,10,1
0.52,0.38,0.5,0.44,-0.03,-0.03,0.03,0.63,0.6,Age(,5,10,1
0.52,0.38,0.5,0.44,-0.0,0.0,0.0,0.62,0.62,race(,5,10,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,sex(,5,11,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Age(,5,11,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,race(,5,11,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,sex(,5,12,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Age(,5,12,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,race(,5,12,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,sex(,5,13,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Age(,5,13,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,race(,5,13,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,sex(,5,14,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Age(,5,14,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,race(,5,14,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,sex(,5,15,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Age(,5,15,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,race(,5,15,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,sex(,5,16,1
