recall,precision,accuracy,F1_Score,AOD,EOD,SPD,FA0,FA1,feature,sample_size,run_num
1.0,1.0,1.0,1.0,0.5,1.0,0.6,0.0,0.0,Age(,1,1
0.67,1.0,0.86,0.8,0.34,1.0,0.17,0.0,0.0,Age(,1,2
1.0,0.75,0.86,0.86,0.38,0.75,,0.25,0.0,Age(,1,3
1.0,1.0,1.0,1.0,0.5,1.0,0.2,0.0,0.0,Age(,1,4
1.0,1.0,1.0,1.0,0.5,1.0,0.4,0.0,0.0,Age(,1,5
0.67,0.67,0.71,0.67,0.09,0.67,0.1,0.33,0.0,Age(,1,6
0.0,0.0,0.71,,0.0,0.0,0.0,1.0,0.0,Age(,1,7
1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,Age(,1,8
1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,Age(,1,9
1.0,1.0,1.0,1.0,0.5,1.0,0.4,0.0,0.0,Age(,1,10
1.0,0.5,0.86,0.67,0.25,0.5,0.17,0.5,0.0,Age(,1,11
0.5,0.5,0.71,0.5,0.5,0.5,0.5,0.5,0.0,Age(,1,12
1.0,1.0,1.0,1.0,0.5,1.0,0.67,0.0,0.0,Age(,1,13
0.75,0.75,0.71,0.75,-0.12,0.75,0.5,0.25,0.0,Age(,1,14
1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,Age(,1,15
0.67,1.0,0.86,0.8,0.38,1.0,0.42,0.0,0.0,Age(,1,16
1.0,0.33,0.71,0.5,0.16,0.33,0.2,0.67,0.0,Age(,1,17
1.0,0.75,0.86,0.86,0.38,0.75,0.5,0.25,0.0,Age(,1,18
0.75,0.75,0.71,0.75,-0.12,0.75,0.5,0.25,0.0,Age(,1,19
1.0,0.5,0.86,0.67,0.25,0.5,,0.5,0.0,Age(,1,20
0.43,0.6,0.54,0.5,0.09,-0.5,0.27,0.5,0.0,Age(,2,1
0.0,0.0,0.46,,0.34,0.0,0.5,1.0,1.0,Age(,2,2
0.5,0.2,0.62,0.29,0.35,0.5,0.29,0.5,1.0,Age(,2,3
0.6,0.75,0.77,0.67,0.7,1.0,0.62,0.0,1.0,Age(,2,4
0.5,0.33,0.77,0.4,0.34,0.5,0.25,0.5,1.0,Age(,2,5
1.0,0.75,0.92,0.86,0.38,0.75,0.43,0.25,0.0,Age(,2,6
0.0,0.0,0.54,,0.0,0.0,0.0,1.0,1.0,Age(,2,7
0.17,1.0,0.62,0.29,0.86,1.0,0.75,0.0,0.0,Age(,2,8
0.33,0.2,0.54,0.25,0.25,-0.5,0.28,1.0,0.5,Age(,2,9
0.5,0.25,0.69,0.33,0.25,0.25,0.25,0.75,0.0,Age(,2,10
0.6,0.5,0.62,0.55,0.62,0.75,0.62,0.25,1.0,Age(,2,11
0.25,0.17,0.38,0.2,0.4,0.2,0.4,0.8,1.0,Age(,2,12
0.67,0.4,0.69,0.5,0.35,0.5,0.33,0.5,1.0,Age(,2,13
0.67,0.4,0.69,0.5,-0.21,-0.75,0.12,0.75,0.0,Age(,2,14
0.25,0.4,0.31,0.31,0.75,0.5,0.8,0.5,1.0,Age(,2,15
1.0,0.25,0.77,0.4,0.25,0.5,0.2,0.5,1.0,Age(,2,16
0.0,0.0,0.38,,0.5,0.0,0.33,1.0,1.0,Age(,2,17
1.0,0.25,0.77,0.4,0.25,0.5,0.2,0.5,1.0,Age(,2,18
0.4,0.33,0.46,0.36,0.62,0.5,0.62,0.5,1.0,Age(,2,19
0.67,0.67,0.85,0.67,0.46,0.67,0.43,0.33,0.0,Age(,2,20
0.5,0.5,0.7,0.5,0.52,0.6,0.5,0.4,1.0,Age(,3,1
0.4,0.33,0.65,0.36,0.36,0.33,0.36,0.67,0.0,Age(,3,2
0.67,0.17,0.45,0.27,0.22,0.2,0.21,0.8,1.0,Age(,3,3
1.0,0.6,0.8,0.75,-0.22,-0.44,0.19,0.44,0.0,Age(,3,4
0.67,0.18,0.5,0.28,0.02,-0.21,0.04,0.88,0.67,Age(,3,5
0.43,0.5,0.65,0.46,0.55,0.6,0.54,0.4,1.0,Age(,3,6
0.5,0.5,0.7,0.5,0.46,0.5,0.46,0.5,0.0,Age(,3,7
0.0,0.0,0.65,,0.12,0.0,0.1,1.0,0.0,Age(,3,8
0.62,0.62,0.7,0.62,0.0,-0.43,0.33,0.43,0.0,Age(,3,9
0.5,0.4,0.75,0.44,0.45,0.5,0.44,0.5,1.0,Age(,3,10
0.5,0.43,0.65,0.46,-0.2,-0.67,0.14,0.67,0.0,Age(,3,11
0.5,0.5,0.7,0.5,0.16,0.0,0.24,0.5,0.5,Age(,3,12
0.4,0.29,0.6,0.34,0.21,-0.08,0.3,0.75,0.67,Age(,3,13
0.75,0.38,0.7,0.5,0.38,0.6,0.36,0.4,1.0,Age(,3,14
0.38,0.6,0.65,0.47,0.68,0.75,0.67,0.25,1.0,Age(,3,15
0.5,0.14,0.65,0.22,0.17,0.2,0.17,0.8,1.0,Age(,3,16
0.88,0.78,0.85,0.83,0.02,-0.29,0.4,0.29,0.0,Age(,3,17
0.43,0.5,0.65,0.46,-0.02,-0.6,0.38,0.6,0.0,Age(,3,18
0.43,0.43,0.6,0.43,0.44,0.43,0.44,0.57,0.0,Age(,3,19
0.43,0.6,0.7,0.5,0.0,-0.5,0.38,0.5,0.0,Age(,3,20
