recall+,precision+,accuracy+,F1_Score+,AOD-,EOD-,SPD-,FA0-,FA1-,feature,sample_size,total_pts,fold,enough_multiplier
0.71,0.91,0.81,0.8,-0.05,-0.15,0.03,0.29,0.13,sex(,1,32,1,1
0.84,0.94,0.9,0.89,0.02,-0.02,0.11,0.16,0.14,Age(,1,32,1,1
0.83,0.97,0.89,0.89,-0.03,-0.05,0.12,0.17,0.12,race(,1,32,1,1
0.14,1.0,0.54,0.25,-0.03,-0.06,0.03,0.86,0.8,sex(,1,8,1,5
0.07,1.0,0.56,0.13,-0.22,-0.43,0.28,0.93,0.5,Age(,1,8,1,5
0.19,1.0,0.54,0.32,-0.0,-0.01,0.03,0.81,0.8,race(,1,8,1,5
0.78,0.88,0.92,0.83,-0.02,0.01,0.18,0.22,0.23,sex(,1,8,2,5
0.7,0.93,0.87,0.8,-0.23,-0.25,0.32,0.3,0.05,Age(,1,8,2,5
0.82,0.88,0.86,0.85,0.14,0.21,0.23,0.18,0.39,race(,1,8,2,5
0.44,0.78,0.71,0.56,-0.05,-0.11,0.07,0.56,0.45,sex(,1,8,3,5
0.53,0.86,0.76,0.66,-0.02,-0.0,0.09,0.47,0.47,Age(,1,8,3,5
0.6,0.87,0.74,0.71,0.15,0.25,0.19,0.4,0.65,race(,1,8,3,5
0.84,1.0,0.91,0.91,0.01,0.07,0.03,0.16,0.22,sex(,1,8,4,5
0.75,0.92,0.86,0.83,-0.05,-0.1,0.2,0.25,0.15,Age(,1,8,4,5
0.81,0.92,0.87,0.86,0.08,0.08,0.05,0.19,0.27,race(,1,8,4,5
0.33,1.0,0.78,0.5,-0.01,-0.02,0.03,0.67,0.65,sex(,1,8,5,5
0.38,1.0,0.79,0.55,0.04,0.09,0.02,0.62,0.7,Age(,1,8,5,5
0.39,1.0,0.74,0.56,0.07,0.14,0.09,0.61,0.75,race(,1,8,5,5
0.67,0.67,0.86,0.67,0.0,0.11,0.15,0.33,0.45,sex(,1,8,6,5
0.35,0.69,0.7,0.46,-0.49,-0.59,0.56,0.65,0.07,Age(,1,8,6,5
