recall+,precision+,accuracy+,F1_Score+,AOD-,EOD-,SPD-,FA0-,FA1-,feature,sample_size,run_num
1.0,0.71,0.85,0.83,-0.36,-0.71,0.42,0.0,0.29,sex(,1,1
1.0,0.71,0.85,0.83,-0.04,-0.08,0.35,0.33,0.25,Age(,1,1
1.0,0.71,0.85,0.83,0.36,0.71,,0.29,0.0,race(,1,1
1.0,1.0,1.0,1.0,-0.5,-1.0,0.58,0.0,0.0,sex(,1,2
1.0,1.0,1.0,1.0,0.0,0.0,0.1,0.0,0.0,Age(,1,2
1.0,1.0,1.0,1.0,0.5,1.0,,0.0,0.0,race(,1,2
1.0,1.0,1.0,1.0,-0.5,-1.0,0.25,0.0,0.0,sex(,1,3
1.0,1.0,1.0,1.0,0.0,0.0,0.91,0.0,0.0,Age(,1,3
1.0,1.0,1.0,1.0,0.5,1.0,,0.0,0.0,race(,1,3
1.0,1.0,1.0,1.0,-0.5,-1.0,0.36,0.0,0.0,sex(,1,4
1.0,1.0,1.0,1.0,0.0,0.0,0.47,0.0,0.0,Age(,1,4
1.0,1.0,1.0,1.0,0.5,1.0,,0.0,0.0,race(,1,4
1.0,1.0,1.0,1.0,-0.5,-1.0,0.7,0.0,0.0,sex(,1,5
1.0,1.0,1.0,1.0,0.0,0.0,0.55,0.0,0.0,Age(,1,5
1.0,1.0,1.0,1.0,0.5,1.0,,0.0,0.0,race(,1,5
1.0,0.83,0.92,0.91,-0.42,-0.83,0.5,0.0,0.17,sex(,1,6
1.0,0.83,0.92,0.91,0.16,0.33,0.03,0.0,0.33,Age(,1,6
1.0,0.83,0.92,0.91,0.42,0.83,,0.17,0.0,race(,1,6
0.83,1.0,0.92,0.91,-0.57,-1.0,0.5,0.0,0.0,sex(,1,7
0.83,1.0,0.92,0.91,0.08,0.0,0.22,0.0,0.0,Age(,1,7
0.83,1.0,0.92,0.91,0.56,1.0,,0.0,0.0,race(,1,7
0.86,1.0,0.92,0.92,-0.58,-1.0,0.58,0.0,0.0,sex(,1,8
0.86,1.0,0.92,0.92,0.08,0.0,0.17,0.0,0.0,Age(,1,8
0.86,1.0,0.92,0.92,0.57,1.0,,0.0,0.0,race(,1,8
1.0,1.0,1.0,1.0,-0.5,-1.0,0.58,0.0,0.0,sex(,1,9
1.0,1.0,1.0,1.0,0.0,0.0,0.6,0.0,0.0,Age(,1,9
1.0,1.0,1.0,1.0,0.5,1.0,,0.0,0.0,race(,1,9
1.0,1.0,1.0,1.0,-0.5,-1.0,0.5,0.0,0.0,sex(,1,10
1.0,1.0,1.0,1.0,0.0,0.0,0.68,0.0,0.0,Age(,1,10
1.0,1.0,1.0,1.0,0.5,1.0,,0.0,0.0,race(,1,10
0.86,1.0,0.92,0.92,-0.58,-1.0,0.58,0.0,0.0,sex(,1,11
0.86,1.0,0.92,0.92,0.08,0.0,0.17,0.0,0.0,Age(,1,11
0.86,1.0,0.92,0.92,0.57,1.0,,0.0,0.0,race(,1,11
1.0,0.86,0.92,0.92,-0.43,-0.86,,0.0,0.14,sex(,1,12
1.0,0.86,0.92,0.92,-0.1,-0.2,0.1,0.2,0.0,Age(,1,12
1.0,0.86,0.92,0.92,0.43,0.86,,0.14,0.0,race(,1,12
1.0,1.0,1.0,1.0,-0.5,-1.0,,0.0,0.0,sex(,1,13
1.0,1.0,1.0,1.0,-0.5,-1.0,0.75,0.0,0.0,Age(,1,13
1.0,1.0,1.0,1.0,0.5,1.0,,0.0,0.0,race(,1,13
0.88,1.0,0.92,0.94,-0.58,-1.0,,0.0,0.0,sex(,1,14
0.88,1.0,0.92,0.94,0.1,0.0,0.07,0.0,0.0,Age(,1,14
0.88,1.0,0.92,0.94,0.58,1.0,,0.0,0.0,race(,1,14
0.8,1.0,0.92,0.89,-0.56,-1.0,,0.0,0.0,sex(,1,15
0.8,1.0,0.92,0.89,0.07,0.0,0.35,0.0,0.0,Age(,1,15
0.8,1.0,0.92,0.89,0.56,1.0,,0.0,0.0,race(,1,15
1.0,1.0,1.0,1.0,-0.5,-1.0,0.58,0.0,0.0,sex(,1,16
1.0,1.0,1.0,1.0,0.0,0.0,0.05,0.0,0.0,Age(,1,16
1.0,1.0,1.0,1.0,0.5,1.0,,0.0,0.0,race(,1,16
0.91,1.0,0.92,0.95,-0.66,-1.0,,0.0,0.0,sex(,1,17
0.91,1.0,0.92,0.95,0.16,0.0,0.22,0.0,0.0,Age(,1,17
0.91,1.0,0.92,0.95,0.66,1.0,,0.0,0.0,race(,1,17
1.0,1.0,1.0,1.0,-0.5,-1.0,,0.0,0.0,sex(,1,18
1.0,1.0,1.0,1.0,0.0,0.0,0.27,0.0,0.0,Age(,1,18
1.0,1.0,1.0,1.0,0.5,1.0,,0.0,0.0,race(,1,18
1.0,0.8,0.92,0.89,-0.4,-0.8,0.33,0.0,0.2,sex(,1,19
1.0,0.8,0.92,0.89,0.25,0.5,0.23,0.0,0.5,Age(,1,19
1.0,0.8,0.92,0.89,0.4,0.8,,0.2,0.0,race(,1,19
0.83,1.0,0.92,0.91,-0.57,-1.0,0.5,0.0,0.0,sex(,1,20
0.83,1.0,0.92,0.91,0.07,0.0,0.27,0.0,0.0,Age(,1,20
0.83,1.0,0.92,0.91,0.56,1.0,,0.0,0.0,race(,1,20
1.0,1.0,1.0,1.0,-0.5,-1.0,0.5,0.0,0.0,sex(,2,1
1.0,1.0,1.0,1.0,0.0,0.0,0.43,0.0,0.0,Age(,2,1
1.0,1.0,1.0,1.0,0.0,0.0,0.12,0.0,0.0,race(,2,1
0.91,0.91,0.92,0.91,0.01,0.11,0.05,0.0,0.11,sex(,2,2
0.91,0.91,0.92,0.91,0.14,0.2,0.18,0.0,0.2,Age(,2,2
0.91,0.91,0.92,0.91,-0.02,-0.12,0.08,0.12,0.0,race(,2,2
1.0,1.0,1.0,1.0,0.0,0.0,0.32,0.0,0.0,sex(,2,3
1.0,1.0,1.0,1.0,0.0,0.0,0.03,0.0,0.0,Age(,2,3
1.0,1.0,1.0,1.0,0.0,0.0,0.12,0.0,0.0,race(,2,3
1.0,1.0,1.0,1.0,-0.5,-1.0,0.52,0.0,0.0,sex(,2,4
1.0,1.0,1.0,1.0,0.0,0.0,0.33,0.0,0.0,Age(,2,4
1.0,1.0,1.0,1.0,0.0,0.0,0.13,0.0,0.0,race(,2,4
1.0,1.0,1.0,1.0,0.0,0.0,0.15,0.0,0.0,sex(,2,5
1.0,1.0,1.0,1.0,0.0,0.0,0.13,0.0,0.0,Age(,2,5
1.0,1.0,1.0,1.0,0.0,0.0,0.33,0.0,0.0,race(,2,5
1.0,1.0,1.0,1.0,0.0,0.0,0.02,0.0,0.0,sex(,2,6
1.0,1.0,1.0,1.0,0.0,0.0,0.21,0.0,0.0,Age(,2,6
1.0,1.0,1.0,1.0,0.0,0.0,0.25,0.0,0.0,race(,2,6
1.0,0.92,0.96,0.96,-0.5,-1.0,0.52,1.0,0.0,sex(,2,7
1.0,0.92,0.96,0.96,0.12,0.25,0.08,0.0,0.25,Age(,2,7
1.0,0.92,0.96,0.96,-0.05,-0.1,0.61,0.1,0.0,race(,2,7
1.0,0.93,0.96,0.96,-0.46,-0.93,,0.0,0.07,sex(,2,8
1.0,0.93,0.96,0.96,0.07,0.14,0.17,0.0,0.14,Age(,2,8
1.0,0.93,0.96,0.96,-0.04,-0.08,0.05,0.08,0.0,race(,2,8
0.92,1.0,0.96,0.96,-0.05,0.0,0.32,0.0,0.0,sex(,2,9
0.92,1.0,0.96,0.96,-0.16,0.0,0.27,0.0,0.0,Age(,2,9
0.92,1.0,0.96,0.96,0.07,0.0,0.04,0.0,0.0,race(,2,9
0.78,1.0,0.92,0.88,-0.08,0.0,0.3,0.0,0.0,sex(,2,10
0.78,1.0,0.92,0.88,-0.14,0.0,0.17,0.0,0.0,Age(,2,10
0.78,1.0,0.92,0.88,0.07,0.0,0.04,0.0,0.0,race(,2,10
1.0,1.0,1.0,1.0,-0.5,-1.0,0.52,0.0,0.0,sex(,2,11
1.0,1.0,1.0,1.0,0.0,0.0,0.21,0.0,0.0,Age(,2,11
1.0,1.0,1.0,1.0,0.0,0.0,0.27,0.0,0.0,race(,2,11
1.0,1.0,1.0,1.0,0.0,0.0,0.18,0.0,0.0,sex(,2,12
1.0,1.0,1.0,1.0,0.0,0.0,0.25,0.0,0.0,Age(,2,12
1.0,1.0,1.0,1.0,0.0,0.0,0.17,0.0,0.0,race(,2,12
1.0,0.94,0.96,0.97,0.04,0.07,0.35,0.0,0.07,sex(,2,13
1.0,0.94,0.96,0.97,0.12,0.25,0.13,0.0,0.25,Age(,2,13
1.0,0.94,0.96,0.97,-0.04,-0.08,0.15,0.08,0.0,race(,2,13
1.0,1.0,1.0,1.0,-0.5,-1.0,0.67,0.0,0.0,sex(,2,14
1.0,1.0,1.0,1.0,0.0,0.0,0.58,0.0,0.0,Age(,2,14
1.0,1.0,1.0,1.0,0.0,0.0,0.2,0.0,0.0,race(,2,14
1.0,0.92,0.96,0.96,0.04,0.08,0.35,0.0,0.08,sex(,2,15
1.0,0.92,0.96,0.96,0.08,0.17,0.05,0.0,0.17,Age(,2,15
1.0,0.92,0.96,0.96,-0.05,-0.1,0.07,0.1,0.0,race(,2,15
1.0,1.0,1.0,1.0,-0.5,-1.0,0.62,0.0,0.0,sex(,2,16
1.0,1.0,1.0,1.0,0.0,0.0,0.13,0.0,0.0,Age(,2,16
1.0,1.0,1.0,1.0,0.0,0.0,0.03,0.0,0.0,race(,2,16
1.0,1.0,1.0,1.0,-0.5,-1.0,0.57,0.0,0.0,sex(,2,17
1.0,1.0,1.0,1.0,0.0,0.0,0.19,0.0,0.0,Age(,2,17
1.0,1.0,1.0,1.0,0.0,0.0,0.34,0.0,0.0,race(,2,17
0.92,1.0,0.96,0.96,-0.54,-1.0,0.52,0.0,0.0,sex(,2,18
0.92,1.0,0.96,0.96,-0.16,0.0,0.33,0.0,0.0,Age(,2,18
0.92,1.0,0.96,0.96,0.05,0.0,0.19,0.0,0.0,race(,2,18
0.91,0.91,0.92,0.91,-0.54,-1.0,0.5,1.0,0.0,sex(,2,19
0.91,0.91,0.92,0.91,0.14,0.2,0.3,0.0,0.2,Age(,2,19
0.91,0.91,0.92,0.91,-0.02,-0.12,0.37,0.12,0.0,race(,2,19
0.93,1.0,0.96,0.96,-0.06,0.0,0.3,0.0,0.0,sex(,2,20
0.93,1.0,0.96,0.96,-0.16,0.0,0.22,0.0,0.0,Age(,2,20
0.93,1.0,0.96,0.96,0.06,0.0,0.0,0.0,0.0,race(,2,20
0.95,1.0,0.97,0.97,-0.04,0.0,0.24,0.0,0.0,sex(,3,1
0.95,1.0,0.97,0.97,0.04,0.0,0.2,0.0,0.0,Age(,3,1
0.95,1.0,0.97,0.97,-0.16,0.0,0.35,0.0,0.0,race(,3,1
0.93,1.0,0.97,0.96,-0.02,0.0,0.05,0.0,0.0,sex(,3,2
0.93,1.0,0.97,0.96,0.02,0.0,0.34,0.0,0.0,Age(,3,2
0.93,1.0,0.97,0.96,-0.07,0.0,0.31,0.0,0.0,race(,3,2
0.9,1.0,0.95,0.95,-0.09,0.0,0.46,0.0,0.0,sex(,3,3
0.9,1.0,0.95,0.95,0.07,0.0,0.09,0.0,0.0,Age(,3,3
0.9,1.0,0.95,0.95,-0.04,0.0,0.21,0.0,0.0,race(,3,3
0.94,1.0,0.97,0.97,-0.03,0.0,0.02,0.0,0.0,sex(,3,4
0.94,1.0,0.97,0.97,0.04,0.0,0.02,0.0,0.0,Age(,3,4
0.94,1.0,0.97,0.97,0.04,0.0,0.1,0.0,0.0,race(,3,4
0.95,1.0,0.97,0.97,-0.04,0.0,0.22,0.0,0.0,sex(,3,5
0.95,1.0,0.97,0.97,0.04,0.0,0.24,0.0,0.0,Age(,3,5
0.95,1.0,0.97,0.97,-0.12,0.0,0.23,0.0,0.0,race(,3,5
1.0,1.0,1.0,1.0,0.0,0.0,0.12,0.0,0.0,sex(,3,6
1.0,1.0,1.0,1.0,0.0,0.0,0.1,0.0,0.0,Age(,3,6
1.0,1.0,1.0,1.0,0.0,0.0,0.18,0.0,0.0,race(,3,6
1.0,1.0,1.0,1.0,0.0,0.0,0.02,0.0,0.0,sex(,3,7
1.0,1.0,1.0,1.0,0.0,0.0,0.13,0.0,0.0,Age(,3,7
1.0,1.0,1.0,1.0,0.0,0.0,0.16,0.0,0.0,race(,3,7
1.0,1.0,1.0,1.0,0.0,0.0,0.13,0.0,0.0,sex(,3,8
1.0,1.0,1.0,1.0,0.0,0.0,0.12,0.0,0.0,Age(,3,8
1.0,1.0,1.0,1.0,0.0,0.0,0.12,0.0,0.0,race(,3,8
0.9,1.0,0.95,0.95,-0.09,0.0,0.47,0.0,0.0,sex(,3,9
0.9,1.0,0.95,0.95,0.09,0.0,0.24,0.0,0.0,Age(,3,9
0.9,1.0,0.95,0.95,-0.06,0.0,0.19,0.0,0.0,race(,3,9
0.95,1.0,0.97,0.97,-0.04,0.0,0.36,0.0,0.0,sex(,3,10
0.95,1.0,0.97,0.97,0.03,0.0,0.14,0.0,0.0,Age(,3,10
0.95,1.0,0.97,0.97,-0.08,0.0,0.05,0.0,0.0,race(,3,10
0.96,1.0,0.97,0.98,-0.05,0.0,0.17,0.0,0.0,sex(,3,11
0.96,1.0,0.97,0.98,0.04,0.0,0.48,0.0,0.0,Age(,3,11
0.96,1.0,0.97,0.98,-0.1,0.0,0.15,0.0,0.0,race(,3,11
1.0,1.0,1.0,1.0,0.0,0.0,0.24,0.0,0.0,sex(,3,12
1.0,1.0,1.0,1.0,0.0,0.0,0.2,0.0,0.0,Age(,3,12
1.0,1.0,1.0,1.0,0.0,0.0,0.14,0.0,0.0,race(,3,12
0.96,1.0,0.97,0.98,-0.05,0.0,0.06,0.0,0.0,sex(,3,13
0.96,1.0,0.97,0.98,0.04,0.0,0.24,0.0,0.0,Age(,3,13
0.96,1.0,0.97,0.98,-0.06,0.0,0.13,0.0,0.0,race(,3,13
0.94,1.0,0.97,0.97,-0.03,0.0,0.18,0.0,0.0,sex(,3,14
0.94,1.0,0.97,0.97,0.03,0.0,0.12,0.0,0.0,Age(,3,14
