recall+,precision+,accuracy+,F1_Score+,AOD-,EOD-,SPD-,FA0-,FA1-,feature,sample_size,fold,run_num
0.8,0.51,0.78,0.62,0.15,0.21,0.24,0.46,0.67,Age(,24,1,1
0.69,0.5,0.75,0.58,0.04,-0.06,0.17,0.51,0.45,Age(,24,2,1
0.64,0.56,0.75,0.6,0.28,0.32,0.34,0.4,0.71,Age(,24,3,1
0.72,0.57,0.75,0.64,0.16,0.19,0.27,0.39,0.58,Age(,24,4,1
0.74,0.69,0.82,0.71,0.02,-0.17,0.3,0.33,0.17,Age(,24,5,1
0.81,0.68,0.81,0.74,0.12,0.14,0.24,0.29,0.43,Age(,24,6,1
0.7,0.53,0.76,0.6,0.05,-0.08,0.27,0.48,0.4,Age(,24,7,1
0.76,0.62,0.83,0.68,0.2,0.3,0.26,0.32,0.62,Age(,24,8,1
0.68,0.49,0.73,0.57,0.24,0.28,0.31,0.47,0.75,Age(,24,9,1
0.55,0.46,0.7,0.5,0.25,0.32,0.26,0.48,0.8,Age(,24,10,1
0.76,0.61,0.77,0.68,0.19,0.3,0.29,0.33,0.64,Age(,24,11,1
0.75,0.58,0.77,0.65,0.14,0.09,0.28,0.41,0.5,Age(,24,12,1
0.67,0.56,0.77,0.61,0.18,0.22,0.25,0.4,0.62,Age(,24,13,1
0.72,0.57,0.78,0.64,0.15,0.09,0.27,0.41,0.5,Age(,24,14,1
0.73,0.62,0.81,0.67,0.1,0.0,0.27,0.38,0.38,Age(,24,15,1
0.73,0.53,0.75,0.61,0.0,-0.07,0.12,0.49,0.42,Age(,24,16,1
0.76,0.51,0.74,0.61,0.14,0.11,0.25,0.47,0.58,Age(,24,17,1
0.68,0.59,0.81,0.63,0.36,0.63,0.28,0.37,1.0,Age(,24,18,1
0.67,0.61,0.75,0.64,0.11,-0.07,0.3,0.4,0.33,Age(,24,19,1
0.79,0.62,0.82,0.69,0.22,0.35,0.28,0.32,0.67,Age(,24,20,1
0.66,0.66,0.79,0.66,0.24,0.27,0.35,0.3,0.57,Age(,24,21,1
0.74,0.55,0.74,0.63,0.08,0.0,0.23,0.45,0.45,Age(,24,22,1
0.74,0.52,0.74,0.61,0.12,0.08,0.24,0.47,0.55,Age(,24,23,1
0.75,0.64,0.82,0.69,0.2,0.27,0.31,0.33,0.6,Age(,24,24,1
0.72,0.56,0.78,0.63,0.18,0.25,0.24,0.39,0.64,Age(,24,25,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Age(,24,26,1
0.76,0.58,0.79,0.66,0.16,0.3,0.22,0.37,0.67,Age(,5,1,1
