recall+,precision+,accuracy+,F1_Score+,AOD-,EOD-,SPD-,FA0-,FA1-,feature,sample_size,fold,run_num
0.5,0.02,0.77,0.04,-0.02,-0.02,0.01,1.0,0.98,LIMIT_BAL(,28,1,1
0.5,0.02,0.77,0.04,0.02,0.03,0.02,0.97,1.0,SEX(,28,1,1
0.5,0.02,0.77,0.04,0.04,0.09,0.02,0.91,1.0,EDUCATION(,28,1,1
0.5,0.02,0.77,0.04,0.02,0.04,0.0,0.96,1.0,MARRIAGE(,28,1,1
0.5,0.02,0.77,0.04,0.02,0.03,0.01,0.97,1.0,AGE(,28,1,1
0.0,0.0,0.74,0.0,0.12,0.0,0.13,1.0,1.0,LIMIT_BAL(,28,2,1
0.0,0.0,0.74,0.0,-0.01,0.0,0.02,1.0,1.0,SEX(,28,2,1
0.0,0.0,0.74,0.0,-0.01,0.0,0.02,1.0,1.0,EDUCATION(,28,2,1
0.0,0.0,0.74,0.0,0.02,0.0,0.03,1.0,1.0,MARRIAGE(,28,2,1
0.0,0.0,0.74,0.0,0.01,0.0,0.02,1.0,1.0,AGE(,28,2,1
0.75,0.09,0.84,0.16,-0.06,-0.1,0.02,1.0,0.9,LIMIT_BAL(,28,3,1
0.75,0.09,0.84,0.16,0.01,0.01,0.01,0.9,0.92,SEX(,28,3,1
0.75,0.09,0.84,0.16,-0.02,-0.11,0.02,1.0,0.89,EDUCATION(,28,3,1
0.75,0.09,0.84,0.16,0.05,0.1,0.0,0.85,0.95,MARRIAGE(,28,3,1
0.75,0.09,0.84,0.16,0.06,0.1,0.02,0.9,1.0,AGE(,28,3,1
0.0,0.0,0.76,0.0,0.05,0.0,0.05,1.0,1.0,LIMIT_BAL(,28,4,1
0.0,0.0,0.76,0.0,-0.02,0.0,0.04,1.0,1.0,SEX(,28,4,1
0.0,0.0,0.76,0.0,-0.01,0.0,0.02,1.0,1.0,EDUCATION(,28,4,1
0.0,0.0,0.76,0.0,-0.01,0.0,0.01,1.0,1.0,MARRIAGE(,28,4,1
0.0,0.0,0.76,0.0,0.01,0.0,0.02,1.0,1.0,AGE(,28,4,1
0.17,0.02,0.77,0.04,0.08,-0.03,0.12,1.0,0.97,LIMIT_BAL(,28,5,1
0.17,0.02,0.77,0.04,0.01,0.04,0.01,0.96,1.0,SEX(,28,5,1
0.17,0.02,0.77,0.04,-0.02,-0.03,0.01,1.0,0.97,EDUCATION(,28,5,1
0.17,0.02,0.77,0.04,0.0,-0.04,0.02,1.0,0.96,MARRIAGE(,28,5,1
0.17,0.02,0.77,0.04,0.0,0.03,0.01,0.97,1.0,AGE(,28,5,1
0.0,0.0,0.82,0.0,-0.0,0.0,0.01,1.0,1.0,LIMIT_BAL(,28,6,1
0.0,0.0,0.82,0.0,-0.0,0.0,0.01,1.0,1.0,SEX(,28,6,1
0.0,0.0,0.82,0.0,-0.0,0.0,0.01,1.0,1.0,EDUCATION(,28,6,1
0.0,0.0,0.82,0.0,0.01,0.0,0.02,1.0,1.0,MARRIAGE(,28,6,1
0.0,0.0,0.82,0.0,0.0,0.0,0.01,1.0,1.0,AGE(,28,6,1
0.67,0.06,0.82,0.11,-0.03,-0.06,0.02,1.0,0.94,LIMIT_BAL(,28,7,1
0.67,0.06,0.82,0.11,-0.04,-0.05,0.02,0.96,0.91,SEX(,28,7,1
0.67,0.06,0.82,0.11,-0.02,-0.07,0.02,1.0,0.93,EDUCATION(,28,7,1
0.67,0.06,0.82,0.11,0.0,0.0,0.01,0.94,0.94,MARRIAGE(,28,7,1
0.67,0.06,0.82,0.11,-0.04,-0.09,0.03,0.96,0.88,AGE(,28,7,1
0.57,0.07,0.7,0.12,0.05,0.04,0.06,0.9,0.94,LIMIT_BAL(,28,8,1
0.57,0.07,0.7,0.12,-0.04,-0.03,0.04,0.95,0.91,SEX(,28,8,1
0.57,0.07,0.7,0.12,0.06,0.04,0.06,0.9,0.94,EDUCATION(,28,8,1
0.57,0.07,0.7,0.12,-0.04,-0.05,0.03,0.96,0.91,MARRIAGE(,28,8,1
0.57,0.07,0.7,0.12,0.0,-0.02,0.0,0.94,0.92,AGE(,28,8,1
0.67,0.05,0.8,0.09,0.02,-0.05,0.06,1.0,0.95,LIMIT_BAL(,28,9,1
0.67,0.05,0.8,0.09,0.03,0.08,0.0,0.92,1.0,SEX(,28,9,1
0.67,0.05,0.8,0.09,-0.03,-0.06,0.02,1.0,0.94,EDUCATION(,28,9,1
0.67,0.05,0.8,0.09,-0.06,-0.12,0.02,1.0,0.88,MARRIAGE(,28,9,1
0.67,0.05,0.8,0.09,0.03,0.06,0.02,0.94,1.0,AGE(,28,9,1
0.0,0.0,0.78,0.0,0.0,0.0,0.0,1.0,1.0,LIMIT_BAL(,28,10,1
0.0,0.0,0.78,0.0,0.0,0.0,0.0,1.0,1.0,SEX(,28,10,1
0.0,0.0,0.78,0.0,0.0,0.0,0.0,1.0,1.0,EDUCATION(,28,10,1
0.0,0.0,0.78,0.0,0.0,0.0,0.0,1.0,1.0,MARRIAGE(,28,10,1
0.0,0.0,0.78,0.0,0.0,0.0,0.0,1.0,1.0,AGE(,28,10,1
0.33,0.05,0.8,0.09,-0.04,-0.06,0.03,1.0,0.94,LIMIT_BAL(,28,11,1
0.33,0.05,0.8,0.09,-0.08,-0.17,0.02,1.0,0.83,SEX(,28,11,1
0.33,0.05,0.8,0.09,0.07,0.17,0.0,0.8,0.97,EDUCATION(,28,11,1
0.33,0.05,0.8,0.09,0.04,0.03,0.04,0.93,0.96,MARRIAGE(,28,11,1
0.33,0.05,0.8,0.09,0.04,0.06,0.03,0.94,1.0,AGE(,28,11,1
1.0,0.05,0.8,0.1,-0.03,-0.06,0.01,1.0,0.94,LIMIT_BAL(,28,12,1
1.0,0.05,0.8,0.1,-0.0,-0.01,0.0,0.96,0.95,SEX(,28,12,1
1.0,0.05,0.8,0.1,-0.03,-0.06,0.01,1.0,0.94,EDUCATION(,28,12,1
1.0,0.05,0.8,0.1,-0.01,-0.02,0.0,0.96,0.94,MARRIAGE(,28,12,1
1.0,0.05,0.8,0.1,0.03,0.06,0.01,0.94,1.0,AGE(,28,12,1
0.67,0.04,0.74,0.08,0.04,-0.04,0.07,1.0,0.96,LIMIT_BAL(,28,13,1
0.67,0.04,0.74,0.08,0.02,0.05,0.0,0.95,1.0,SEX(,28,13,1
0.67,0.04,0.74,0.08,-0.02,-0.04,0.02,1.0,0.96,EDUCATION(,28,13,1
0.67,0.04,0.74,0.08,-0.03,-0.07,0.01,1.0,0.93,MARRIAGE(,28,13,1
0.67,0.04,0.74,0.08,0.02,0.04,0.02,0.96,1.0,AGE(,28,13,1
0.0,0.0,0.78,0.0,-0.0,0.0,0.01,1.0,1.0,LIMIT_BAL(,28,14,1
0.0,0.0,0.78,0.0,-0.01,0.0,0.01,1.0,1.0,SEX(,28,14,1
0.0,0.0,0.78,0.0,-0.0,0.0,0.01,1.0,1.0,EDUCATION(,28,14,1
0.0,0.0,0.78,0.0,-0.0,0.0,0.01,1.0,1.0,MARRIAGE(,28,14,1
0.0,0.0,0.78,0.0,0.0,0.0,0.01,1.0,1.0,AGE(,28,14,1
1.0,0.08,0.82,0.15,-0.04,-0.09,0.02,1.0,0.91,LIMIT_BAL(,28,15,1
1.0,0.08,0.82,0.15,-0.01,-0.02,0.0,0.93,0.91,SEX(,28,15,1
1.0,0.08,0.82,0.15,0.02,0.04,0.02,0.89,0.93,EDUCATION(,28,15,1
1.0,0.08,0.82,0.15,-0.06,-0.11,0.01,0.96,0.85,MARRIAGE(,28,15,1
1.0,0.08,0.82,0.15,0.05,0.1,0.02,0.9,1.0,AGE(,28,15,1
0.67,0.04,0.76,0.08,0.05,0.1,0.05,0.88,0.98,LIMIT_BAL(,28,16,1
0.67,0.04,0.76,0.08,-0.02,-0.02,0.02,0.97,0.95,SEX(,28,16,1
0.67,0.04,0.76,0.08,-0.03,-0.05,0.02,1.0,0.95,EDUCATION(,28,16,1
0.67,0.04,0.76,0.08,-0.04,-0.08,0.03,1.0,0.92,MARRIAGE(,28,16,1
0.67,0.04,0.76,0.08,0.03,0.05,0.02,0.95,1.0,AGE(,28,16,1
0.4,0.04,0.76,0.07,0.12,-0.05,0.14,1.0,0.95,LIMIT_BAL(,28,17,1
0.4,0.04,0.76,0.07,0.02,0.06,0.0,0.94,1.0,SEX(,28,17,1
0.4,0.04,0.76,0.07,0.0,-0.05,0.03,1.0,0.95,EDUCATION(,28,17,1
0.4,0.04,0.76,0.07,0.01,0.01,0.01,0.95,0.96,MARRIAGE(,28,17,1
