recall+,precision+,accuracy+,F1_Score+,AOD-,EOD-,SPD-,FA0-,FA1-,feature,sample_size,fold,run_num
0.98,0.87,0.96,0.92,0.07,0.15,0.11,0.0,0.15,LIMIT_BAL(,28,1,1
0.98,0.87,0.96,0.92,-0.1,-0.18,0.01,0.18,0.0,SEX(,28,1,1
0.98,0.87,0.96,0.92,-0.04,-0.07,0.02,0.18,0.11,EDUCATION(,28,1,1
0.98,0.87,0.96,0.92,-0.03,-0.05,0.01,0.15,0.1,MARRIAGE(,28,1,1
0.98,0.87,0.96,0.92,0.08,0.16,0.16,0.09,0.25,AGE(,28,1,1
0.96,0.94,0.98,0.95,0.03,0.07,0.25,0.0,0.07,LIMIT_BAL(,28,2,1
0.96,0.94,0.98,0.95,-0.02,-0.01,0.02,0.07,0.05,SEX(,28,2,1
0.96,0.94,0.98,0.95,0.02,0.07,0.03,0.0,0.07,EDUCATION(,28,2,1
0.96,0.94,0.98,0.95,0.04,0.05,0.05,0.04,0.09,MARRIAGE(,28,2,1
0.96,0.94,0.98,0.95,-0.04,-0.08,0.32,0.08,0.0,AGE(,28,2,1
0.97,0.97,0.99,0.97,0.01,0.03,0.07,0.0,0.03,LIMIT_BAL(,28,3,1
0.97,0.97,0.99,0.97,-0.02,-0.05,0.01,0.05,0.0,SEX(,28,3,1
0.97,0.97,0.99,0.97,0.02,0.04,0.1,0.0,0.04,EDUCATION(,28,3,1
0.97,0.97,0.99,0.97,0.03,0.05,0.08,0.0,0.05,MARRIAGE(,28,3,1
0.97,0.97,0.99,0.97,-0.01,-0.03,0.1,0.03,0.0,AGE(,28,3,1
0.89,0.89,0.95,0.89,0.11,0.13,0.29,0.0,0.13,LIMIT_BAL(,28,4,1
0.89,0.89,0.95,0.89,0.04,0.11,0.02,0.07,0.18,SEX(,28,4,1
0.89,0.89,0.95,0.89,0.09,0.13,0.08,0.0,0.13,EDUCATION(,28,4,1
0.89,0.89,0.95,0.89,0.0,-0.02,0.0,0.12,0.1,MARRIAGE(,28,4,1
0.89,0.89,0.95,0.89,-0.04,0.0,0.16,0.11,0.11,AGE(,28,4,1
0.97,0.9,0.97,0.93,0.05,0.11,0.1,0.0,0.11,LIMIT_BAL(,28,5,1
0.97,0.9,0.97,0.93,-0.02,-0.04,0.04,0.11,0.07,SEX(,28,5,1
0.97,0.9,0.97,0.93,-0.02,-0.02,0.0,0.11,0.09,EDUCATION(,28,5,1
0.97,0.9,0.97,0.93,-0.02,-0.05,0.08,0.12,0.08,MARRIAGE(,28,5,1
0.97,0.9,0.97,0.93,0.01,0.08,0.06,0.08,0.17,AGE(,28,5,1
0.94,0.91,0.98,0.92,0.05,0.1,0.29,0.0,0.1,LIMIT_BAL(,28,6,1
0.94,0.91,0.98,0.92,-0.06,-0.12,0.04,0.12,0.0,SEX(,28,6,1
0.94,0.91,0.98,0.92,0.05,0.11,0.04,0.0,0.11,EDUCATION(,28,6,1
0.94,0.91,0.98,0.92,0.02,0.05,0.02,0.06,0.11,MARRIAGE(,28,6,1
0.94,0.91,0.98,0.92,-0.08,-0.1,0.09,0.1,0.0,AGE(,28,6,1
0.94,0.86,0.96,0.9,0.13,0.16,0.28,0.0,0.16,LIMIT_BAL(,28,7,1
0.94,0.86,0.96,0.9,0.02,0.06,0.02,0.12,0.18,SEX(,28,7,1
0.94,0.86,0.96,0.9,-0.08,-0.18,0.03,0.29,0.1,EDUCATION(,28,7,1
0.94,0.86,0.96,0.9,0.03,0.06,0.0,0.11,0.17,MARRIAGE(,28,7,1
0.94,0.86,0.96,0.9,-0.12,-0.18,0.26,0.18,0.0,AGE(,28,7,1
1.0,0.92,0.98,0.96,0.05,0.1,0.18,0.0,0.1,LIMIT_BAL(,28,8,1
1.0,0.92,0.98,0.96,0.04,0.08,0.08,0.05,0.13,SEX(,28,8,1
1.0,0.92,0.98,0.96,-0.07,-0.14,0.05,0.2,0.06,EDUCATION(,28,8,1
1.0,0.92,0.98,0.96,0.0,0.01,0.08,0.08,0.09,MARRIAGE(,28,8,1
1.0,0.92,0.98,0.96,-0.05,-0.1,0.18,0.1,0.0,AGE(,28,8,1
1.0,0.93,0.98,0.96,0.04,0.07,0.06,0.0,0.08,LIMIT_BAL(,28,9,1
1.0,0.93,0.98,0.96,0.04,0.08,0.03,0.04,0.12,SEX(,28,9,1
1.0,0.93,0.98,0.96,-0.04,-0.07,0.0,0.12,0.06,EDUCATION(,28,9,1
1.0,0.93,0.98,0.96,-0.06,-0.12,0.02,0.12,0.0,MARRIAGE(,28,9,1
1.0,0.93,0.98,0.96,0.02,0.04,0.11,0.06,0.1,AGE(,28,9,1
0.97,0.84,0.96,0.9,-0.11,-0.2,0.03,0.33,0.13,LIMIT_BAL(,28,10,1
