recall+,precision+,accuracy+,F1_Score+,AOD-,EOD-,SPD-,FA0-,FA1-,feature,sample_size,fold,run_num
0.91,0.93,0.93,0.92,-0.06,-0.08,0.09,0.14,0.06,sex(,27,1,1
0.91,0.93,0.93,0.92,0.01,-0.07,0.23,0.1,0.03,Age(,27,1,1
0.91,0.93,0.93,0.92,0.03,-0.0,0.14,0.07,0.07,race(,27,1,1
0.86,0.83,0.85,0.84,0.08,0.1,0.06,0.08,0.19,sex(,27,2,1
0.86,0.83,0.85,0.84,0.04,0.03,0.02,0.16,0.19,Age(,27,2,1
0.86,0.83,0.85,0.84,-0.06,-0.06,0.05,0.19,0.13,race(,27,2,1
0.87,0.78,0.85,0.82,-0.02,0.04,0.14,0.18,0.22,sex(,27,3,1
0.87,0.78,0.85,0.82,0.09,0.13,0.01,0.18,0.32,Age(,27,3,1
0.87,0.78,0.85,0.82,0.04,0.06,0.1,0.2,0.26,race(,27,3,1
0.8,0.81,0.84,0.8,0.06,-0.04,0.03,0.22,0.19,sex(,27,4,1
0.8,0.81,0.84,0.8,-0.08,-0.02,0.12,0.2,0.18,Age(,27,4,1
0.8,0.81,0.84,0.8,-0.11,-0.1,0.02,0.21,0.11,race(,27,4,1
0.91,0.89,0.91,0.9,-0.08,-0.1,0.21,0.2,0.1,sex(,27,5,1
0.91,0.89,0.91,0.9,0.0,-0.03,0.19,0.13,0.09,Age(,27,5,1
0.91,0.89,0.91,0.9,-0.04,-0.06,0.03,0.13,0.07,race(,27,5,1
0.89,0.79,0.84,0.84,0.1,-0.02,0.02,0.23,0.21,sex(,27,6,1
0.89,0.79,0.84,0.84,0.04,0.13,0.0,0.18,0.31,Age(,27,6,1
0.89,0.79,0.84,0.84,-0.02,0.05,0.01,0.2,0.24,race(,27,6,1
0.86,0.88,0.9,0.87,-0.02,0.02,0.2,0.11,0.13,sex(,27,7,1
0.86,0.88,0.9,0.87,-0.06,-0.14,0.15,0.18,0.04,Age(,27,7,1
0.86,0.88,0.9,0.87,0.05,0.11,0.05,0.09,0.2,race(,27,7,1
0.88,0.89,0.89,0.88,0.11,0.07,0.06,0.06,0.12,sex(,27,8,1
0.88,0.89,0.89,0.88,-0.02,-0.06,0.14,0.13,0.07,Age(,27,8,1
0.88,0.89,0.89,0.88,-0.06,-0.08,0.1,0.13,0.05,race(,27,8,1
0.88,0.79,0.86,0.83,-0.05,-0.09,0.13,0.29,0.19,sex(,27,9,1
0.88,0.79,0.86,0.83,-0.04,-0.11,0.18,0.25,0.14,Age(,27,9,1
0.88,0.79,0.86,0.83,0.0,-0.02,0.12,0.22,0.19,race(,27,9,1
0.8,0.81,0.84,0.8,-0.1,-0.11,0.25,0.29,0.18,sex(,27,10,1
0.8,0.81,0.84,0.8,-0.01,0.03,0.14,0.18,0.21,Age(,27,10,1
0.8,0.81,0.84,0.8,0.01,-0.02,0.08,0.19,0.17,race(,27,10,1
0.84,0.84,0.86,0.84,0.12,0.09,0.03,0.08,0.17,sex(,27,11,1
0.84,0.84,0.86,0.84,-0.08,-0.05,0.15,0.18,0.13,Age(,27,11,1
0.84,0.84,0.86,0.84,-0.1,-0.13,0.03,0.2,0.07,race(,27,11,1
0.94,0.86,0.89,0.9,-0.15,-0.21,0.18,0.32,0.1,sex(,27,12,1
0.94,0.86,0.89,0.9,-0.03,-0.06,0.22,0.16,0.11,Age(,27,12,1
0.94,0.86,0.89,0.9,0.02,0.09,0.1,0.12,0.21,race(,27,12,1
0.82,0.79,0.84,0.8,0.06,0.03,0.05,0.18,0.21,sex(,27,13,1
0.82,0.79,0.84,0.8,-0.03,0.02,0.07,0.2,0.22,Age(,27,13,1
0.82,0.79,0.84,0.8,0.0,-0.05,0.09,0.22,0.17,race(,27,13,1
0.83,0.86,0.87,0.84,-0.04,0.04,0.16,0.1,0.14,sex(,27,14,1
0.83,0.86,0.87,0.84,0.11,0.05,0.05,0.12,0.17,Age(,27,14,1
0.83,0.86,0.87,0.84,0.11,0.19,0.2,0.09,0.27,race(,27,14,1
0.86,0.85,0.88,0.85,0.08,0.17,0.15,0.0,0.17,sex(,27,15,1
0.86,0.85,0.88,0.85,0.05,0.03,0.04,0.14,0.17,Age(,27,15,1
0.86,0.85,0.88,0.85,-0.02,0.0,0.0,0.15,0.15,race(,27,15,1
0.81,0.82,0.85,0.81,-0.01,0.04,0.06,0.14,0.18,sex(,27,16,1
0.81,0.82,0.85,0.81,0.04,0.04,0.1,0.16,0.2,Age(,27,16,1
0.81,0.82,0.85,0.81,-0.07,-0.02,0.02,0.18,0.16,race(,27,16,1
0.85,0.83,0.86,0.84,0.12,0.19,0.02,0.0,0.19,sex(,27,17,1
0.85,0.83,0.86,0.84,-0.04,-0.04,0.17,0.19,0.15,Age(,27,17,1
0.85,0.83,0.86,0.84,0.02,0.01,0.1,0.17,0.18,race(,27,17,1
0.9,0.84,0.87,0.87,0.06,0.1,0.12,0.08,0.17,sex(,27,18,1
0.9,0.84,0.87,0.87,0.04,0.02,0.06,0.15,0.17,Age(,27,18,1
0.9,0.84,0.87,0.87,-0.02,-0.02,0.11,0.16,0.14,race(,27,18,1
0.87,0.88,0.88,0.87,-0.08,-0.15,0.1,0.25,0.1,sex(,27,19,1
0.87,0.88,0.88,0.87,-0.04,-0.04,0.17,0.14,0.1,Age(,27,19,1
0.87,0.88,0.88,0.87,-0.03,-0.13,0.05,0.16,0.04,race(,27,19,1
0.83,0.82,0.85,0.82,0.06,0.07,0.15,0.11,0.18,sex(,27,20,1
0.83,0.82,0.85,0.82,-0.03,-0.1,0.07,0.21,0.11,Age(,27,20,1
0.83,0.82,0.85,0.82,0.12,0.18,0.12,0.12,0.3,race(,27,20,1
0.88,0.8,0.84,0.84,-0.06,-0.1,0.14,0.29,0.19,sex(,27,21,1
0.88,0.8,0.84,0.84,-0.02,-0.04,0.11,0.22,0.18,Age(,27,21,1
0.88,0.8,0.84,0.84,-0.01,0.02,0.06,0.19,0.21,race(,27,21,1
0.78,0.84,0.84,0.81,0.12,0.17,0.08,0.0,0.17,sex(,27,22,1
0.78,0.84,0.84,0.81,0.02,0.05,0.04,0.14,0.19,Age(,27,22,1
0.78,0.84,0.84,0.81,-0.01,-0.03,0.04,0.16,0.14,race(,27,22,1
0.86,0.82,0.86,0.84,-0.02,0.08,0.04,0.11,0.19,sex(,27,23,1
0.86,0.82,0.86,0.84,-0.1,-0.1,0.33,0.21,0.11,Age(,27,23,1
0.86,0.82,0.86,0.84,-0.02,0.07,0.0,0.16,0.22,race(,27,23,1
0.88,0.86,0.89,0.87,-0.12,-0.18,0.25,0.3,0.12,sex(,27,24,1
0.88,0.86,0.89,0.87,0.01,0.02,0.01,0.14,0.16,Age(,27,24,1
0.88,0.86,0.89,0.87,-0.03,-0.11,0.12,0.16,0.06,race(,27,24,1
0.85,0.87,0.86,0.86,-0.02,-0.04,0.19,0.17,0.13,sex(,27,25,1
0.85,0.87,0.86,0.86,0.01,-0.06,0.09,0.16,0.09,Age(,27,25,1
0.85,0.87,0.86,0.86,-0.06,-0.1,0.02,0.17,0.07,race(,27,25,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,sex(,27,26,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Age(,27,26,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,race(,27,26,1
0.91,0.94,0.93,0.92,-0.06,-0.1,0.1,0.14,0.04,sex(,20,1,1
0.91,0.94,0.93,0.92,0.02,-0.05,0.23,0.08,0.03,Age(,20,1,1
0.91,0.94,0.93,0.92,0.01,-0.04,0.13,0.07,0.04,race(,20,1,1
0.86,0.84,0.85,0.85,0.07,0.09,0.06,0.08,0.17,sex(,20,2,1
0.86,0.84,0.85,0.85,0.02,-0.01,0.04,0.16,0.15,Age(,20,2,1
0.86,0.84,0.85,0.85,-0.04,-0.04,0.06,0.17,0.13,race(,20,2,1
0.85,0.79,0.84,0.82,0.04,0.13,0.09,0.09,0.22,sex(,20,3,1
0.85,0.79,0.84,0.82,0.02,0.03,0.06,0.2,0.23,Age(,20,3,1
0.85,0.79,0.84,0.82,0.08,0.13,0.12,0.17,0.3,race(,20,3,1
0.85,0.76,0.84,0.8,0.01,-0.1,0.07,0.33,0.23,sex(,20,4,1
0.85,0.76,0.84,0.8,0.03,0.13,0.02,0.2,0.32,Age(,20,4,1
0.85,0.76,0.84,0.8,-0.16,-0.17,0.06,0.28,0.11,race(,20,4,1
0.84,0.85,0.86,0.84,-0.08,-0.06,0.2,0.2,0.14,sex(,20,5,1
