recall,precision,accuracy,F1_Score,AOD,EOD,SPD,FA0,FA1,feature,sample_size,run_num
0.5,0.33,0.77,0.4,0.0,0.0,,0.0,0.0,Credit_amount(,1,1
0.5,0.33,0.77,0.4,0.22,0.33,0.17,0.67,0.0,savings(,1,1
0.5,0.33,0.77,0.4,-0.42,-0.5,0.4,1.0,0.5,sex(,1,1
0.5,0.33,0.77,0.4,-0.34,0.33,0.92,0.67,0.0,Age(,1,1
0.5,0.33,0.77,0.4,0.22,0.33,,0.67,0.0,foreign_worker(,1,1
0.5,1.0,0.92,0.67,0.0,0.0,,0.0,0.0,Credit_amount(,1,2
0.5,1.0,0.92,0.67,0.55,1.0,0.18,0.0,0.0,savings(,1,2
0.5,1.0,0.92,0.67,0.54,1.0,,0.0,0.0,sex(,1,2
0.5,1.0,0.92,0.67,0.54,1.0,,0.0,0.0,Age(,1,2
0.5,1.0,0.92,0.67,0.54,1.0,,0.0,0.0,foreign_worker(,1,2
1.0,0.75,0.92,0.86,0.0,0.0,,0.0,0.0,Credit_amount(,1,3
1.0,0.75,0.92,0.86,0.38,0.75,0.3,0.25,0.0,savings(,1,3
1.0,0.75,0.92,0.86,-0.5,-1.0,0.6,1.0,0.0,sex(,1,3
1.0,0.75,0.92,0.86,0.38,0.75,,0.25,0.0,Age(,1,3
1.0,0.75,0.92,0.86,0.38,0.75,,0.25,0.0,foreign_worker(,1,3
1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,Credit_amount(,1,4
1.0,1.0,1.0,1.0,0.5,1.0,0.2,0.0,0.0,savings(,1,4
1.0,1.0,1.0,1.0,0.0,0.0,0.41,0.0,0.0,sex(,1,4
1.0,1.0,1.0,1.0,0.0,0.0,0.92,0.0,0.0,Age(,1,4
1.0,1.0,1.0,1.0,0.5,1.0,,0.0,0.0,foreign_worker(,1,4
1.0,0.25,0.77,0.4,0.0,0.0,,0.0,0.0,Credit_amount(,1,5
1.0,0.25,0.77,0.4,0.12,0.25,0.1,0.75,0.0,savings(,1,5
1.0,0.25,0.77,0.4,-0.25,-0.5,0.25,1.0,0.5,sex(,1,5
1.0,0.25,0.77,0.4,0.16,0.33,0.08,0.67,1.0,Age(,1,5
1.0,0.25,0.77,0.4,0.12,0.25,,0.75,0.0,foreign_worker(,1,5
0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,Credit_amount(,1,6
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,savings(,1,6
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,sex(,1,6
0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,Age(,1,6
0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,foreign_worker(,1,6
1.0,0.2,0.69,0.33,0.0,0.0,,0.0,0.0,Credit_amount(,1,7
1.0,0.2,0.69,0.33,0.1,0.2,0.08,0.8,0.0,savings(,1,7
1.0,0.2,0.69,0.33,-0.25,-0.5,0.25,1.0,0.5,sex(,1,7
1.0,0.2,0.69,0.33,0.1,0.2,,0.8,0.0,Age(,1,7
1.0,0.2,0.69,0.33,0.1,0.2,,0.8,0.0,foreign_worker(,1,7
0.0,0.0,0.77,0.0,0.0,0.0,,0.0,0.0,Credit_amount(,1,8
0.0,0.0,0.77,0.0,0.0,0.0,0.0,1.0,0.0,savings(,1,8
0.0,0.0,0.77,0.0,0.0,0.0,0.0,1.0,1.0,sex(,1,8
0.0,0.0,0.77,0.0,0.0,0.0,0.0,1.0,1.0,Age(,1,8
0.0,0.0,0.77,0.0,0.0,0.0,,1.0,0.0,foreign_worker(,1,8
1.0,0.4,0.77,0.57,0.0,0.0,,0.0,0.0,Credit_amount(,1,9
