recall+,precision+,accuracy+,F1_Score+,AOD-,EOD-,SPD-,FA0-,FA1-,feature,sample_size,fold,run_num
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,LIMIT_BAL(,25,1,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,SEX(,25,1,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,EDUCATION(,25,1,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,MARRIAGE(,25,1,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,AGE(,25,1,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,LIMIT_BAL(,25,2,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,SEX(,25,2,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,EDUCATION(,25,2,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,MARRIAGE(,25,2,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,AGE(,25,2,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,LIMIT_BAL(,25,3,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,SEX(,25,3,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,EDUCATION(,25,3,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,MARRIAGE(,25,3,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,AGE(,25,3,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,LIMIT_BAL(,25,4,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,SEX(,25,4,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,EDUCATION(,25,4,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,MARRIAGE(,25,4,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,AGE(,25,4,1
0.47,0.18,0.8,0.26,-0.13,-0.21,0.08,1.0,0.79,LIMIT_BAL(,25,5,1
0.47,0.18,0.8,0.26,0.1,0.19,0.04,0.74,0.93,SEX(,25,5,1
0.47,0.18,0.8,0.26,-0.0,0.05,0.02,0.78,0.83,EDUCATION(,25,5,1
0.47,0.18,0.8,0.26,0.11,0.24,0.04,0.7,0.94,MARRIAGE(,25,5,1
0.47,0.18,0.8,0.26,-0.1,-0.25,0.02,0.85,0.6,AGE(,25,5,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,LIMIT_BAL(,25,6,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,SEX(,25,6,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,EDUCATION(,25,6,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,MARRIAGE(,25,6,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,AGE(,25,6,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,LIMIT_BAL(,25,7,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,SEX(,25,7,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,EDUCATION(,25,7,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,MARRIAGE(,25,7,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,AGE(,25,7,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,LIMIT_BAL(,25,8,1
