recall+,precision+,accuracy+,F1_Score+,AOD-,EOD-,SPD-,FA0-,FA1-,feature,sample_size,fold,run_num
0.77,0.71,0.83,0.74,0.24,0.32,0.35,0.25,0.57,Age(,24,1,1
0.62,0.61,0.73,0.61,0.15,0.14,0.22,0.36,0.5,Age(,24,2,1
0.62,0.44,0.7,0.51,0.15,0.04,0.27,0.56,0.6,Age(,24,3,1
0.77,0.64,0.79,0.7,-0.08,-0.28,0.19,0.4,0.12,Age(,24,4,1
0.74,0.58,0.8,0.65,0.12,0.1,0.27,0.4,0.5,Age(,24,5,1
0.75,0.51,0.77,0.61,-0.01,-0.18,0.22,0.51,0.33,Age(,24,6,1
0.69,0.6,0.75,0.64,0.19,0.23,0.26,0.34,0.57,Age(,24,7,1
0.64,0.5,0.76,0.56,0.2,0.25,0.27,0.46,0.71,Age(,24,8,1
0.74,0.61,0.78,0.67,0.22,0.29,0.27,0.33,0.62,Age(,24,9,1
0.76,0.56,0.78,0.64,0.05,-0.04,0.28,0.44,0.4,Age(,24,10,1
0.73,0.68,0.81,0.7,0.19,0.28,0.28,0.27,0.56,Age(,24,11,1
0.65,0.6,0.75,0.62,0.14,0.04,0.33,0.39,0.43,Age(,24,12,1
0.74,0.58,0.78,0.65,0.09,0.03,0.25,0.41,0.44,Age(,24,13,1
0.77,0.62,0.82,0.69,0.07,0.09,0.2,0.36,0.44,Age(,24,14,1
0.7,0.53,0.73,0.6,0.16,0.09,0.27,0.46,0.55,Age(,24,15,1
0.78,0.6,0.81,0.68,0.04,-0.08,0.28,0.41,0.33,Age(,24,16,1
0.8,0.65,0.81,0.72,0.32,0.54,0.36,0.29,0.83,Age(,24,17,1
0.69,0.54,0.77,0.61,0.16,0.11,0.26,0.44,0.55,Age(,24,18,1
0.62,0.57,0.76,0.59,0.34,0.5,0.34,0.36,0.86,Age(,24,19,1
0.7,0.56,0.72,0.62,0.07,-0.15,0.22,0.48,0.33,Age(,24,20,1
0.69,0.51,0.73,0.59,0.2,0.16,0.33,0.47,0.62,Age(,24,21,1
0.78,0.59,0.82,0.67,-0.02,-0.06,0.08,0.42,0.36,Age(,24,22,1
0.83,0.63,0.8,0.72,0.1,0.15,0.26,0.35,0.5,Age(,24,23,1
0.72,0.61,0.79,0.66,0.25,0.28,0.35,0.35,0.62,Age(,24,24,1
0.6,0.57,0.74,0.58,0.24,0.22,0.33,0.38,0.6,Age(,24,25,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Age(,24,26,1
0.84,0.63,0.84,0.72,0.16,0.23,0.26,0.34,0.57,Age(,5,1,1
0.57,0.59,0.7,0.58,0.34,0.44,0.34,0.31,0.75,Age(,5,2,1
0.62,0.45,0.71,0.52,0.15,0.07,0.25,0.53,0.6,Age(,5,3,1
0.77,0.69,0.8,0.73,0.01,-0.21,0.29,0.34,0.12,Age(,5,4,1
0.73,0.54,0.78,0.62,0.07,0.05,0.22,0.45,0.5,Age(,5,5,1
0.68,0.53,0.75,0.6,0.01,-0.16,0.24,0.49,0.33,Age(,5,6,1
0.7,0.64,0.76,0.67,0.12,0.09,0.23,0.34,0.43,Age(,5,7,1
0.68,0.54,0.78,0.6,0.14,0.14,0.25,0.44,0.57,Age(,5,8,1
0.73,0.54,0.76,0.62,0.27,0.4,0.28,0.37,0.77,Age(,5,9,1
0.76,0.64,0.8,0.69,-0.0,-0.18,0.3,0.38,0.2,Age(,5,10,1
0.76,0.6,0.8,0.67,0.17,0.33,0.21,0.34,0.67,Age(,5,11,1
0.61,0.58,0.73,0.59,0.14,0.02,0.32,0.41,0.43,Age(,5,12,1
