recall+,precision+,accuracy+,F1_Score+,AOD-,EOD-,SPD-,FA0-,FA1-,feature,sample_size,fold,run_num
0.69,0.53,0.82,0.6,0.11,0.15,0.18,0.45,0.6,sex(,732,1,1
0.69,0.53,0.82,0.6,0.3,0.53,,0.47,0.0,race(,732,1,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,sex(,732,2,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,race(,732,2,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,sex(,732,3,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,race(,732,3,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,sex(,732,4,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,race(,732,4,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,sex(,732,5,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,race(,732,5,1
0.77,0.55,0.82,0.64,0.08,0.06,0.17,0.44,0.5,sex(,732,6,1
0.77,0.55,0.82,0.64,0.31,0.55,,0.45,0.0,race(,732,6,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,sex(,732,7,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,race(,732,7,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,sex(,732,8,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,race(,732,8,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,sex(,732,9,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,race(,732,9,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,sex(,732,10,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,race(,732,10,1
0.77,0.55,0.84,0.64,0.22,0.36,0.23,0.39,0.75,sex(,732,11,1
0.77,0.55,0.84,0.64,0.31,0.55,,0.45,0.0,race(,732,11,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,sex(,732,12,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,race(,732,12,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,sex(,732,13,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,race(,732,13,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,sex(,732,14,1
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,race(,732,14,1
