1_sex( 0.05 0.16 0.16 0.19 0.16 0.08 0.22 0.06 0.14 0.23 0.17 0.06 0.09 0.17 0.2 0.08 0.14 0.19 0.05 0.24 0.09 0.24 0.1 0.16 0.27 
1_race( 0.12 0.13 0.09 0.14 0.04 0.08 0.0 0.21 0.19 0.1 0.08 0.12 0.11 0.16 0.03 0.05 0.15 0.16 0.15 0.04 0.17 0.07 0.08 0.17 0.02 
7_sex( 0.04 0.12 0.11 0.17 0.13 0.17 0.19 0.01 0.12 0.24 0.12 0.1 0.12 0.11 0.2 0.16 0.13 0.19 0.06 0.24 0.13 0.22 0.03 0.08 0.27 
7_race( 0.08 0.14 0.13 0.13 0.04 0.01 0.04 0.16 0.19 0.09 0.06 0.05 0.09 0.16 0.06 0.07 0.14 0.16 0.02 0.07 0.1 0.1 0.09 0.1 0.08 
10_sex( 0.04 0.16 0.13 0.18 0.15 0.12 0.17 0.02 0.14 0.21 0.07 0.16 0.12 0.13 0.22 0.02 0.13 0.21 0.08 0.27 0.08 0.23 0.08 0.16 0.25 
10_race( 0.14 0.12 0.1 0.11 0.06 0.02 0.01 0.13 0.16 0.12 0.02 0.07 0.1 0.18 0.06 0.03 0.14 0.18 0.07 0.06 0.11 0.08 0.09 0.13 0.09 
17_sex( 0.05 0.11 0.14 0.19 0.15 0.08 0.21 0.01 0.11 0.2 0.13 0.06 0.09 0.12 0.25 0.01 0.11 0.25 0.04 0.25 0.17 0.25 0.11 0.11 0.24 
17_race( 0.12 0.08 0.11 0.12 0.06 0.05 0.02 0.19 0.15 0.11 0.03 0.09 0.13 0.19 0.03 0.07 0.16 0.17 0.1 0.03 0.1 0.08 0.07 0.13 0.08 
20_sex( 0.06 0.11 0.17 0.21 0.16 0.12 0.19 0.01 0.12 0.22 0.12 0.04 0.11 0.12 0.25 0.01 0.15 0.22 0.03 0.28 0.14 0.26 0.12 0.16 0.23 
20_race( 0.14 0.16 0.09 0.11 0.03 0.01 0.01 0.2 0.12 0.12 0.06 0.1 0.11 0.2 0.03 0.09 0.11 0.19 0.09 0.0 0.13 0.05 0.06 0.15 0.09 
27_sex( 0.05 0.13 0.19 0.18 0.16 0.12 0.19 0.03 0.12 0.24 0.13 0.06 0.13 0.14 0.24 0.04 0.14 0.22 0.02 0.25 0.13 0.22 0.08 0.16 0.21 
27_race( 0.12 0.13 0.07 0.11 0.01 0.02 0.01 0.2 0.16 0.09 0.07 0.08 0.11 0.17 0.03 0.07 0.11 0.2 0.07 0.01 0.12 0.09 0.06 0.16 0.06 
