1_sex( 0.0 0.12 0.0 0.43 0.03 0.73 0.02 0.11 0.13 0.76 0.31 0.0 0.09 0.42 0.81 0.0 0.05 0.0 0.7 0.87 0.22 0.07 1.0 0.0 0.0 0.0
1_race( 0.0 0.12 0.0 0.43 0.03 0.73 0.02 0.11 0.13 0.76 0.31 0.0 0.09 0.42 0.81 0.0 0.05 0.0 0.7 0.87 0.22 0.07 1.0 0.0 0.0 0.0
7_sex( 0.13 0.26 0.07 0.09 0.09 0.22 0.05 0.11 0.06 0.29 0.22 0.14 0.09 0.18 0.09 0.06 0.26 0.39 0.09 0.28 0.16 0.09 0.14 0.04 0.16 0.0
7_race( 0.13 0.26 0.07 0.09 0.09 0.22 0.05 0.11 0.06 0.29 0.22 0.14 0.09 0.18 0.09 0.06 0.26 0.39 0.09 0.28 0.16 0.09 0.14 0.04 0.16 0.0
10_sex( 0.28 0.28 0.17 0.16 0.18 0.31 0.12 0.18 0.21 0.35 0.31 0.35 0.16 0.27 0.17 0.04 0.26 0.13 0.11 0.33 0.18 0.31 0.19 0.24 0.07 0.0
10_race( 0.28 0.28 0.17 0.16 0.18 0.31 0.12 0.18 0.21 0.35 0.31 0.35 0.16 0.27 0.17 0.04 0.26 0.13 0.11 0.33 0.18 0.31 0.19 0.24 0.07 0.0
17_sex( 0.26 0.32 0.24 0.23 0.47 0.4 0.37 0.39 0.28 0.32 0.41 0.32 0.14 0.24 0.21 0.25 0.3 0.42 0.24 0.33 0.27 0.22 0.19 0.42 0.3 0.0
17_race( 0.26 0.32 0.24 0.23 0.47 0.4 0.37 0.39 0.28 0.32 0.41 0.32 0.14 0.24 0.21 0.25 0.3 0.42 0.24 0.33 0.27 0.22 0.19 0.42 0.3 0.0
20_sex( 0.21 0.26 0.35 0.25 0.35 0.35 0.41 0.45 0.21 0.32 0.31 0.3 0.3 0.29 0.26 0.23 0.35 0.37 0.22 0.3 0.27 0.31 0.21 0.27 0.33 0.0
20_race( 0.21 0.26 0.35 0.25 0.35 0.35 0.41 0.45 0.21 0.32 0.31 0.3 0.3 0.29 0.26 0.23 0.35 0.37 0.22 0.3 0.27 0.31 0.21 0.27 0.33 0.0
27_sex( 0.36 0.32 0.33 0.3 0.41 0.42 0.37 0.34 0.26 0.38 0.37 0.35 0.23 0.42 0.23 0.25 0.3 0.34 0.22 0.41 0.42 0.33 0.21 0.29 0.28 0.0
27_race( 0.36 0.32 0.33 0.3 0.41 0.42 0.37 0.34 0.26 0.38 0.37 0.35 0.23 0.42 0.23 0.25 0.3 0.34 0.22 0.41 0.42 0.33 0.21 0.29 0.28 0.0
