1_sex( 0.41 0.32 0.48 0.31 0.3 0.46 0.47 0.54 0.22 0.54 0.14 0.27 0.35 0.34 0.29 0.42 0.39 0.36 0.25 0.45 0.04 0.28 0.49 0.27 0.04 0.0
1_race( 0.41 0.32 0.48 0.31 0.3 0.46 0.47 0.54 0.22 0.54 0.14 0.27 0.35 0.34 0.29 0.42 0.39 0.36 0.25 0.45 0.04 0.28 0.49 0.27 0.04 0.0
7_sex( 0.65 0.67 0.78 0.82 0.79 0.71 0.76 0.67 0.75 0.76 0.76 0.78 0.69 0.66 0.75 0.69 0.73 0.77 0.64 0.81 0.7 0.69 0.72 0.67 0.79 0.0
7_race( 0.65 0.67 0.78 0.82 0.79 0.71 0.76 0.67 0.75 0.76 0.76 0.78 0.69 0.66 0.75 0.69 0.73 0.77 0.64 0.81 0.7 0.69 0.72 0.67 0.79 0.0
10_sex( 0.77 0.76 0.86 0.82 0.78 0.87 0.79 0.73 0.79 0.88 0.76 0.85 0.63 0.8 0.72 0.75 0.79 0.71 0.73 0.86 0.84 0.86 0.76 0.81 0.86 0.0
10_race( 0.77 0.76 0.86 0.82 0.78 0.87 0.79 0.73 0.79 0.88 0.76 0.85 0.63 0.8 0.72 0.75 0.79 0.71 0.73 0.86 0.84 0.86 0.76 0.81 0.86 0.0
17_sex( 0.92 0.83 0.83 0.91 0.88 0.9 0.84 0.82 0.91 0.94 0.89 0.76 0.84 0.9 0.84 0.87 0.9 0.85 0.87 0.88 0.86 0.86 0.82 0.88 0.84 0.0
17_race( 0.92 0.83 0.83 0.91 0.88 0.9 0.84 0.82 0.91 0.94 0.89 0.76 0.84 0.9 0.84 0.87 0.9 0.85 0.87 0.88 0.86 0.86 0.82 0.88 0.84 0.0
20_sex( 0.9 0.86 0.88 0.81 0.92 0.89 0.86 0.91 0.93 0.88 0.89 0.86 0.87 0.91 0.93 0.86 0.89 0.86 0.9 0.91 0.86 0.86 0.89 0.87 0.89 0.0
20_race( 0.9 0.86 0.88 0.81 0.92 0.89 0.86 0.91 0.93 0.88 0.89 0.86 0.87 0.91 0.93 0.86 0.89 0.86 0.9 0.91 0.86 0.86 0.89 0.87 0.89 0.0
27_sex( 0.91 0.93 0.95 0.95 0.97 0.93 0.95 0.87 0.96 0.97 0.9 0.95 0.86 0.94 0.93 0.89 0.94 0.88 0.93 0.92 0.92 0.92 0.96 0.89 0.91 0.0
27_race( 0.91 0.93 0.95 0.95 0.97 0.93 0.95 0.87 0.96 0.97 0.9 0.95 0.86 0.94 0.93 0.89 0.94 0.88 0.93 0.92 0.92 0.92 0.96 0.89 0.91 0.0
