1_sex( 0.8 0.75 0.79 0.79 0.84 0.77 0.84 0.82 0.74 0.87 0.74 0.83 0.8 0.79 0.77 0.79 0.81 0.8 0.78 0.82 0.76 0.77 0.82 0.79 0.77 
1_race( 0.8 0.75 0.79 0.79 0.84 0.77 0.84 0.82 0.74 0.87 0.74 0.83 0.8 0.79 0.77 0.79 0.81 0.8 0.78 0.82 0.76 0.77 0.82 0.79 0.77 
7_sex( 0.84 0.83 0.9 0.92 0.93 0.86 0.91 0.88 0.86 0.92 0.87 0.9 0.86 0.87 0.89 0.86 0.89 0.91 0.84 0.92 0.87 0.85 0.88 0.84 0.91 
7_race( 0.84 0.83 0.9 0.92 0.93 0.86 0.91 0.88 0.86 0.92 0.87 0.9 0.86 0.87 0.89 0.86 0.89 0.91 0.84 0.92 0.87 0.85 0.88 0.84 0.91 
10_sex( 0.89 0.89 0.93 0.92 0.93 0.92 0.92 0.9 0.89 0.96 0.89 0.94 0.85 0.91 0.87 0.89 0.9 0.9 0.88 0.93 0.92 0.93 0.89 0.91 0.94 
10_race( 0.89 0.89 0.93 0.92 0.93 0.92 0.92 0.9 0.89 0.96 0.89 0.94 0.85 0.91 0.87 0.89 0.9 0.9 0.88 0.93 0.92 0.93 0.89 0.91 0.94 
17_sex( 0.96 0.91 0.92 0.96 0.96 0.95 0.93 0.93 0.95 0.98 0.95 0.91 0.93 0.95 0.92 0.94 0.95 0.94 0.94 0.94 0.93 0.93 0.92 0.95 0.93 
17_race( 0.96 0.91 0.92 0.96 0.96 0.95 0.93 0.93 0.95 0.98 0.95 0.91 0.93 0.95 0.92 0.94 0.95 0.94 0.94 0.94 0.93 0.93 0.92 0.95 0.93 
20_sex( 0.95 0.93 0.94 0.92 0.97 0.94 0.95 0.96 0.96 0.96 0.95 0.95 0.94 0.96 0.97 0.93 0.95 0.95 0.95 0.96 0.93 0.93 0.95 0.94 0.95 
20_race( 0.95 0.93 0.94 0.92 0.97 0.94 0.95 0.96 0.96 0.96 0.95 0.95 0.94 0.96 0.97 0.93 0.95 0.95 0.95 0.96 0.93 0.93 0.95 0.94 0.95 
27_sex( 0.96 0.96 0.98 0.98 0.99 0.96 0.98 0.95 0.98 0.99 0.95 0.98 0.94 0.97 0.97 0.95 0.97 0.95 0.97 0.96 0.96 0.96 0.98 0.95 0.96 
27_race( 0.96 0.96 0.98 0.98 0.99 0.96 0.98 0.95 0.98 0.99 0.95 0.98 0.94 0.97 0.97 0.95 0.97 0.95 0.97 0.96 0.96 0.96 0.98 0.95 0.96 
