1_sex( 0.92 0.61 0.64 0.69 0.86 0.78 0.87 0.58 0.78 0.78 0.57 0.86 0.77 0.77 0.64 0.78 0.79 0.56 0.78 0.93 1.0 0.62 0.73 0.88 1.0 0.0
1_race( 0.92 0.61 0.64 0.69 0.86 0.78 0.87 0.58 0.78 0.78 0.57 0.86 0.77 0.77 0.64 0.78 0.79 0.56 0.78 0.93 1.0 0.62 0.73 0.88 1.0 0.0
7_sex( 0.72 0.69 0.85 0.87 0.89 0.91 0.9 0.79 0.76 0.85 0.76 0.72 0.74 0.89 0.84 0.85 0.87 0.78 0.72 0.97 0.78 0.7 0.78 0.68 0.91 0.0
7_race( 0.72 0.69 0.85 0.87 0.89 0.91 0.9 0.79 0.76 0.85 0.76 0.72 0.74 0.89 0.84 0.85 0.87 0.78 0.72 0.97 0.78 0.7 0.78 0.68 0.91 0.0
10_sex( 0.85 0.89 0.85 0.85 0.96 0.83 0.93 0.81 0.9 0.91 0.91 0.82 0.73 0.91 0.79 0.94 0.79 0.85 0.83 0.9 0.86 0.88 0.78 0.87 0.97 0.0
10_race( 0.85 0.89 0.85 0.85 0.96 0.83 0.93 0.81 0.9 0.91 0.91 0.82 0.73 0.91 0.79 0.94 0.79 0.85 0.83 0.9 0.86 0.88 0.78 0.87 0.97 0.0
17_sex( 0.9 0.89 0.92 0.93 0.91 0.96 0.89 0.86 0.94 0.94 0.91 0.84 0.97 0.91 0.88 0.97 0.89 0.86 0.95 0.93 0.92 0.88 0.85 0.95 0.88 0.0
17_race( 0.9 0.89 0.92 0.93 0.91 0.96 0.89 0.86 0.94 0.94 0.91 0.84 0.97 0.91 0.88 0.97 0.89 0.86 0.95 0.93 0.92 0.88 0.85 0.95 0.88 0.0
20_sex( 0.91 0.93 0.91 0.89 0.94 0.92 0.97 0.9 0.93 0.91 0.95 0.91 0.9 1.0 0.98 0.89 0.95 0.91 0.93 0.95 0.88 0.88 0.92 0.92 0.95 0.0
20_race( 0.91 0.93 0.91 0.89 0.94 0.92 0.97 0.9 0.93 0.91 0.95 0.91 0.9 1.0 0.98 0.89 0.95 0.91 0.93 0.95 0.88 0.88 0.92 0.92 0.95 0.0
27_sex( 1.0 0.96 1.0 1.0 0.97 0.94 1.0 0.91 0.98 1.0 0.98 0.95 0.94 0.95 0.98 0.93 1.0 0.94 0.98 1.0 0.93 0.95 0.95 0.95 0.97 0.0
27_race( 1.0 0.96 1.0 1.0 0.97 0.94 1.0 0.91 0.98 1.0 0.98 0.95 0.94 0.95 0.98 0.93 1.0 0.94 0.98 1.0 0.93 0.95 0.95 0.95 0.97 0.0
