1_sex( 1.0 0.93 0.9 1.0 1.0 0.57 0.88 1.0 0.91 1.0 1.0 0.92 0.73 0.93 0.86 0.9 0.93 1.0 1.0 0.92 1.0 1.0 0.41 1.0 1.0
1_race( 0.98 0.97 0.96 0.88 0.96 0.72 0.82 0.97 0.93 0.96 0.92 0.88 0.74 0.96 0.96 0.96 0.92 0.95 0.98 0.96 1.0 0.93 0.56 0.94 1.0
2_sex( 1.0 1.0 0.92 1.0 1.0 1.0 1.0 0.92 0.92 0.93 1.0 1.0 1.0 1.0 1.0 0.9 1.0 0.88 1.0 0.89 1.0 1.0 1.0 0.91 0.93
2_race( 0.98 1.0 0.96 0.92 0.95 0.98 0.93 0.95 0.94 0.95 0.95 0.95 0.95 0.98 1.0 0.94 0.94 0.9 0.98 0.93 1.0 0.94 0.98 0.92 0.96
3_sex( 1.0 1.0 0.91 1.0 1.0 1.0 1.0 1.0 0.91 1.0 1.0 1.0 1.0 1.0 0.86 0.91 1.0 0.94 1.0 0.93 1.0 1.0 0.92 1.0 0.94
3_race( 0.98 1.0 0.96 0.91 0.95 0.98 0.93 0.98 0.95 0.97 0.93 0.94 0.94 0.98 0.96 0.94 0.94 0.94 0.97 0.93 0.95 0.94 0.95 0.91 0.97
5_sex( 1.0 0.87 0.92 1.0 1.0 1.0 1.0 0.92 0.92 0.93 1.0 1.0 1.0 1.0 0.89 0.91 1.0 1.0 1.0 0.93 1.0 0.91 1.0 0.91 0.94
5_race( 0.98 0.95 0.98 0.9 0.95 0.97 0.92 0.95 0.94 0.94 0.93 0.93 0.94 0.98 0.96 0.95 0.94 1.0 0.97 0.93 0.97 0.93 0.96 0.92 0.97
761_sex( 0.74 0.64 0.86 1.0 0.92 0.75 0.92 0.81 0.77 0.67 0.86 0.76 0.77 1.0 0.75 0.64 0.75 0.58 0.93 1.0 0.88 0.73 0.69 0.79 0.9
761_race( 0.84 0.88 0.88 0.84 0.95 0.87 0.88 0.93 0.87 0.78 0.83 0.86 0.91 0.88 0.87 0.81 0.85 0.85 0.96 0.85 0.9 0.89 0.79 0.86 0.9
