1_race( 0.87 0.96 0.9 0.87 0.89 0.92 0.95 0.79 0.72 0.82 0.84 0.87 0.87 0.8 0.91 0.73 0.88 0.88 0.92 0.2 0.81 0.83 0.96 0.67 0.91
1_sex( 0.87 0.96 0.9 0.87 0.89 0.92 0.95 0.79 0.72 0.82 0.84 0.87 0.87 0.8 0.91 0.73 0.88 0.88 0.92 0.2 0.81 0.83 0.96 0.67 0.91
2_race( 0.97 0.96 0.97 0.95 0.93 0.98 0.84 0.96 0.97 0.76 0.9 0.67 0.83 0.95 0.97 0.96 0.9 0.97 0.93 0.93 0.99 0.68 0.97 0.96 0.72
2_sex( 0.97 0.96 0.97 0.95 0.93 0.98 0.84 0.96 0.97 0.76 0.9 0.67 0.83 0.95 0.97 0.96 0.9 0.97 0.93 0.93 0.99 0.68 0.97 0.96 0.72
3_race( 0.98 0.95 0.96 0.95 0.98 0.93 0.87 0.91 0.97 0.97 0.96 0.62 0.98 0.89 0.93 0.95 0.92 0.97 0.96 0.91 0.9 0.91 0.89 0.94 0.92
3_sex( 0.98 0.95 0.96 0.95 0.98 0.93 0.87 0.91 0.97 0.97 0.96 0.62 0.98 0.89 0.93 0.95 0.92 0.97 0.96 0.91 0.9 0.91 0.89 0.94 0.92
5_race( 0.86 0.96 0.95 0.21 0.95 0.95 0.7 0.95 0.98 0.93 0.94 0.75 0.94 0.93 0.91 0.93 0.95 0.97 0.88 0.93 0.97 0.95 0.98 0.95 0.87
5_sex( 0.86 0.96 0.95 0.21 0.95 0.95 0.7 0.95 0.98 0.93 0.94 0.75 0.94 0.93 0.91 0.93 0.95 0.97 0.88 0.93 0.97 0.95 0.98 0.95 0.87
761_race( 0.84 0.87 0.86 0.83 0.83 0.86 0.89 0.84 0.83 0.74 0.83 0.83 0.87 0.84 0.83 0.83 0.8 0.84 0.85 0.85 0.82 0.85 0.85 0.83 0.85
761_sex( 0.84 0.87 0.86 0.83 0.83 0.86 0.89 0.84 0.83 0.74 0.83 0.83 0.87 0.84 0.83 0.83 0.8 0.84 0.85 0.85 0.82 0.85 0.85 0.83 0.85
