1_race( 1.0 0.93 0.94 0.88 1.0 0.93 0.92 0.94 0.78 1.0 0.87 0.69 0.87 0.96 0.94 0.0 0.91 0.5 0.7 0.87 0.96 0.91 0.97 0.68 1.0
1_sex( 1.0 0.93 0.94 0.88 1.0 0.93 0.92 0.94 0.78 1.0 0.87 0.69 0.87 0.96 0.94 0.0 0.91 0.5 0.7 0.87 0.96 0.91 0.97 0.68 1.0
2_race( 0.97 0.9 0.98 0.89 0.92 0.52 0.95 0.95 0.95 0.81 0.96 0.94 0.99 0.97 0.94 0.92 0.97 0.94 0.92 0.99 0.96 0.82 0.97 0.95 0.95
2_sex( 0.97 0.9 0.98 0.89 0.92 0.52 0.95 0.95 0.95 0.81 0.96 0.94 0.99 0.97 0.94 0.92 0.97 0.94 0.92 0.99 0.96 0.82 0.97 0.95 0.95
3_race( 0.95 0.63 0.97 0.91 0.98 0.93 0.97 0.95 0.94 0.96 0.94 0.95 0.92 0.96 0.94 0.96 0.97 0.87 0.94 0.99 0.96 0.91 0.89 1.0 0.96
3_sex( 0.95 0.63 0.97 0.91 0.98 0.93 0.97 0.95 0.94 0.96 0.94 0.95 0.92 0.96 0.94 0.96 0.97 0.87 0.94 0.99 0.96 0.91 0.89 1.0 0.96
5_race( 0.97 0.94 1.0 0.91 1.0 0.93 0.97 0.96 0.93 0.91 0.94 0.94 0.99 0.94 0.95 0.95 0.96 0.94 0.94 0.99 0.96 0.87 0.97 1.0 0.95
5_sex( 0.97 0.94 1.0 0.91 1.0 0.93 0.97 0.96 0.93 0.91 0.94 0.94 0.99 0.94 0.95 0.95 0.96 0.94 0.94 0.99 0.96 0.87 0.97 1.0 0.95
761_race( 0.82 0.83 0.88 0.8 0.89 0.85 0.87 0.86 0.85 0.76 0.83 0.82 0.91 0.86 0.83 0.82 0.84 0.8 0.86 0.87 0.84 0.87 0.8 0.87 0.85
761_sex( 0.82 0.83 0.88 0.8 0.89 0.85 0.87 0.86 0.85 0.76 0.83 0.82 0.91 0.86 0.83 0.82 0.84 0.8 0.86 0.87 0.84 0.87 0.8 0.87 0.85
