1_sex( 0.53 0.84 0.86 0.8 0.82 0.76 0.84 0.93 0.85 0.7 0.87 0.77 0.86 0.92 0.97 0.52 0.77 0.57 0.71 0.94 0.92 0.72 0.89 0.66 0.54
1_race( 0.53 0.84 0.86 0.8 0.82 0.76 0.84 0.93 0.85 0.7 0.87 0.77 0.86 0.92 0.97 0.52 0.77 0.57 0.71 0.94 0.92 0.72 0.89 0.66 0.54
2_sex( 0.98 0.84 0.93 0.9 0.96 0.6 0.73 0.96 0.87 0.89 0.83 0.97 0.87 0.9 0.82 0.75 0.81 0.94 0.79 0.96 0.97 0.84 0.88 0.83 0.96
2_race( 0.98 0.84 0.93 0.9 0.96 0.6 0.73 0.96 0.87 0.89 0.83 0.97 0.87 0.9 0.82 0.75 0.81 0.94 0.79 0.96 0.97 0.84 0.88 0.83 0.96
3_sex( 0.97 0.75 0.98 0.78 0.98 0.96 0.91 0.96 0.97 0.98 0.97 0.64 0.56 0.79 0.89 0.92 0.97 0.94 0.91 0.94 0.98 0.95 0.88 0.54 0.92
3_race( 0.97 0.75 0.98 0.78 0.98 0.96 0.91 0.96 0.97 0.98 0.97 0.64 0.56 0.79 0.89 0.92 0.97 0.94 0.91 0.94 0.98 0.95 0.88 0.54 0.92
5_sex( 0.91 0.87 0.54 0.96 0.64 0.77 0.97 0.91 0.94 0.77 0.96 0.92 0.88 0.93 0.89 0.82 0.98 0.95 0.97 0.97 0.97 0.63 0.94 0.64 0.97
5_race( 0.91 0.87 0.54 0.96 0.64 0.77 0.97 0.91 0.94 0.77 0.96 0.92 0.88 0.93 0.89 0.82 0.98 0.95 0.97 0.97 0.97 0.63 0.94 0.64 0.97
761_sex( 0.99 1.0 1.0 0.97 0.99 0.97 0.99 0.99 0.99 1.0 0.99 0.99 0.99 0.98 0.99 0.99 0.99 0.98 0.98 1.0 1.0 0.98 0.99 0.99 0.99
761_race( 0.99 1.0 1.0 0.97 0.99 0.97 0.99 0.99 0.99 1.0 0.99 0.99 0.99 0.98 0.99 0.99 0.99 0.98 0.98 1.0 1.0 0.98 0.99 0.99 0.99
