1_race( 0.0 0.02 0.0 0.64 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.12 0.0 0.0 0.0 0.0 0.24 0.0 0.0 0.04 0.0 0.0 0.09 0.0
1_sex( 0.0 0.02 0.0 0.64 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.12 0.0 0.0 0.0 0.0 0.24 0.0 0.0 0.04 0.0 0.0 0.09 0.0
2_race( 0.0 0.0 0.09 0.0 0.44 0.0 0.2 0.0 0.36 0.0 0.55 0.49 0.49 0.02 0.36 0.08 0.0 0.39 0.17 0.39 0.51 0.96 0.09 0.58 0.4
2_sex( 0.0 0.0 0.09 0.0 0.44 0.0 0.2 0.0 0.36 0.0 0.55 0.49 0.49 0.02 0.36 0.08 0.0 0.39 0.17 0.39 0.51 0.96 0.09 0.58 0.4
3_race( 0.49 0.06 0.13 0.02 0.0 0.22 0.78 0.68 0.0 0.76 0.39 0.19 0.81 0.56 0.15 0.6 0.65 0.32 0.17 0.24 0.02 0.31 0.14 0.2 0.67
3_sex( 0.49 0.06 0.13 0.02 0.0 0.22 0.78 0.68 0.0 0.76 0.39 0.19 0.81 0.56 0.15 0.6 0.65 0.32 0.17 0.24 0.02 0.31 0.14 0.2 0.67
5_race( 0.19 0.66 0.2 0.25 0.12 0.62 0.51 0.18 0.0 0.29 0.76 0.24 0.23 0.2 0.49 0.02 0.3 1.0 0.24 0.65 0.11 0.49 0.07 0.13 0.53
5_sex( 0.19 0.66 0.2 0.25 0.12 0.62 0.51 0.18 0.0 0.29 0.76 0.24 0.23 0.2 0.49 0.02 0.3 1.0 0.24 0.65 0.11 0.49 0.07 0.13 0.53
732_race( 0.28 0.34 0.3 0.25 0.53 0.42 0.44 0.42 0.25 0.32 0.41 0.38 0.35 0.4 0.19 0.25 0.4 0.39 0.22 0.35 0.29 0.38 0.28 0.31 0.28
732_sex( 0.28 0.34 0.3 0.25 0.53 0.42 0.44 0.42 0.25 0.32 0.41 0.38 0.35 0.4 0.19 0.25 0.4 0.39 0.22 0.35 0.29 0.38 0.28 0.31 0.28
