1_sex( 0.17 0.05 0.1 0.12 0.19 0.26 0.05 0.02 0.11 0.01 0.09 0.21 0.0 0.09 0.09 0.02 0.23 0.07 0.01 0.27 0.1 0.02 0.05 0.21 0.03
1_race( 0.11 0.18 0.17 0.14 0.08 0.21 0.05 0.23 0.16 0.09 0.12 0.16 0.14 0.08 0.14 0.07 0.19 0.16 0.25 0.27 0.13 0.11 0.16 0.1 0.17
2_sex( 0.19 0.04 0.09 0.12 0.09 0.28 0.01 0.01 0.07 0.01 0.07 0.14 0.02 0.09 0.14 0.05 0.23 0.04 0.04 0.19 0.09 0.02 0.0 0.19 0.12
2_race( 0.12 0.14 0.16 0.11 0.01 0.19 0.0 0.18 0.18 0.04 0.07 0.11 0.17 0.01 0.09 0.01 0.12 0.05 0.01 0.18 0.13 0.04 0.09 0.17 0.07
3_sex( 0.07 0.06 0.07 0.05 0.04 0.21 0.08 0.01 0.09 0.07 0.04 0.01 0.01 0.17 0.16 0.02 0.24 0.04 0.04 0.11 0.1 0.11 0.09 0.05 0.06
3_race( 0.01 0.08 0.16 0.02 0.03 0.1 0.07 0.2 0.13 0.02 0.1 0.01 0.12 0.1 0.1 0.04 0.2 0.1 0.14 0.05 0.13 0.03 0.05 0.03 0.18
5_sex( 0.2 0.02 0.11 0.03 0.07 0.2 0.09 0.02 0.08 0.06 0.14 0.11 0.02 0.11 0.06 0.1 0.06 0.0 0.03 0.28 0.15 0.06 0.13 0.23 0.05
5_race( 0.1 0.11 0.12 0.15 0.06 0.13 0.1 0.19 0.08 0.1 0.2 0.11 0.07 0.02 0.09 0.02 0.0 0.08 0.13 0.19 0.1 0.06 0.16 0.15 0.19
767_sex( 0.07 0.21 0.08 0.01 0.08 0.27 0.02 0.04 0.16 0.03 0.06 0.01 0.05 0.2 0.14 0.02 0.04 0.03 0.1 0.18 0.18 0.13 0.09 0.01 0.16
767_race( 0.17 0.15 0.12 0.02 0.12 0.2 0.11 0.02 0.23 0.0 0.11 0.11 0.17 0.11 0.09 0.0 0.17 0.17 0.14 0.08 0.1 0.1 0.17 0.11 0.09
