1_sex( 0.9 0.96 0.92 0.94 0.9 0.95 0.96 0.85 0.95 0.93 0.97 0.97 0.95 0.95 0.93 0.92 0.9 0.97 0.97 0.98 0.93 0.88 0.92 0.97 0.96
1_race( 0.9 0.96 0.92 0.94 0.9 0.95 0.96 0.85 0.95 0.93 0.97 0.97 0.95 0.95 0.93 0.92 0.9 0.97 0.97 0.98 0.93 0.88 0.92 0.97 0.96
2_sex( 0.62 0.97 0.95 0.98 0.95 0.98 0.99 0.76 0.94 0.89 0.72 0.92 0.94 0.68 0.97 0.94 0.97 0.96 0.97 0.98 0.9 0.95 0.89 0.95 0.96
2_race( 0.62 0.97 0.95 0.98 0.95 0.98 0.99 0.76 0.94 0.89 0.72 0.92 0.94 0.68 0.97 0.94 0.97 0.96 0.97 0.98 0.9 0.95 0.89 0.95 0.96
3_sex( 0.86 0.95 0.98 0.98 0.95 0.9 0.99 0.93 0.95 0.98 0.64 0.95 0.9 0.95 0.95 0.94 0.63 0.96 0.92 0.95 0.96 0.96 0.95 0.63 0.94
3_race( 0.86 0.95 0.98 0.98 0.95 0.9 0.99 0.93 0.95 0.98 0.64 0.95 0.9 0.95 0.95 0.94 0.63 0.96 0.92 0.95 0.96 0.96 0.95 0.63 0.94
5_sex( 0.94 0.97 0.82 0.83 0.91 0.97 0.99 0.94 0.86 0.92 0.77 0.9 0.98 0.85 0.93 0.96 0.96 0.84 0.81 0.93 0.92 0.88 0.88 0.98 0.95
5_race( 0.94 0.97 0.82 0.83 0.91 0.97 0.99 0.94 0.86 0.92 0.77 0.9 0.98 0.85 0.93 0.96 0.96 0.84 0.81 0.93 0.92 0.88 0.88 0.98 0.95
761_sex( 0.84 0.87 0.86 0.83 0.83 0.86 0.89 0.84 0.83 0.74 0.83 0.83 0.87 0.84 0.83 0.83 0.8 0.84 0.85 0.85 0.82 0.85 0.85 0.83 0.85
761_race( 0.84 0.87 0.86 0.83 0.83 0.86 0.89 0.84 0.83 0.74 0.83 0.83 0.87 0.84 0.83 0.83 0.8 0.84 0.85 0.85 0.82 0.85 0.85 0.83 0.85
