1_sex( 0.97 0.97 0.96 0.89 0.97 0.69 0.85 0.98 0.95 0.95 0.94 0.92 0.77 0.93 0.94 0.96 0.92 0.96 0.97 0.95 1.0 0.92 0.52 0.94 1.0
1_race( 0.97 0.97 0.96 0.89 0.97 0.69 0.85 0.98 0.95 0.95 0.94 0.92 0.77 0.93 0.94 0.96 0.92 0.96 0.97 0.95 1.0 0.92 0.52 0.94 1.0
2_sex( 0.96 1.0 0.96 0.91 0.96 0.99 0.95 0.93 0.96 0.95 0.96 0.96 0.96 0.94 1.0 0.95 0.94 0.93 0.99 0.93 1.0 0.91 0.99 0.92 0.96
2_race( 0.96 1.0 0.96 0.91 0.96 0.99 0.95 0.93 0.96 0.95 0.96 0.96 0.96 0.94 1.0 0.95 0.94 0.93 0.99 0.93 1.0 0.91 0.99 0.92 0.96
3_sex( 0.96 1.0 0.96 0.91 0.96 0.98 0.94 0.95 0.97 0.96 0.94 0.96 0.96 0.95 0.96 0.95 0.94 0.95 0.97 0.92 0.97 0.92 0.96 0.93 0.97
3_race( 0.96 1.0 0.96 0.91 0.96 0.98 0.94 0.95 0.97 0.96 0.94 0.96 0.96 0.95 0.96 0.95 0.94 0.95 0.97 0.92 0.97 0.92 0.96 0.93 0.97
5_sex( 0.96 0.96 0.97 0.91 0.96 0.98 0.94 0.93 0.96 0.94 0.94 0.96 0.96 0.94 0.95 0.95 0.93 1.0 0.97 0.92 0.98 0.9 0.97 0.92 0.97
5_race( 0.96 0.96 0.97 0.91 0.96 0.98 0.94 0.93 0.96 0.94 0.94 0.96 0.96 0.94 0.95 0.95 0.93 1.0 0.97 0.92 0.98 0.9 0.97 0.92 0.97
761_sex( 0.82 0.83 0.88 0.8 0.89 0.85 0.87 0.86 0.85 0.76 0.83 0.82 0.91 0.86 0.83 0.82 0.84 0.8 0.86 0.87 0.84 0.87 0.8 0.87 0.85
761_race( 0.82 0.83 0.88 0.8 0.89 0.85 0.87 0.86 0.85 0.76 0.83 0.82 0.91 0.86 0.83 0.82 0.84 0.8 0.86 0.87 0.84 0.87 0.8 0.87 0.85
