1_sex( 0.92 0.44 0.84 0.96 0.91 0.87 0.41 0.95 0.92 0.88 0.93 0.94 0.93 0.86 0.8 0.94 0.9 0.81 0.82 0.9 0.93 0.85 0.92 0.81 0.91
1_race( 0.92 0.44 0.84 0.96 0.91 0.87 0.41 0.95 0.92 0.88 0.93 0.94 0.93 0.86 0.8 0.94 0.9 0.81 0.82 0.9 0.93 0.85 0.92 0.81 0.91
2_sex( 0.97 0.78 0.95 0.92 0.66 0.85 0.2 0.96 0.97 0.95 0.44 0.64 0.96 0.53 0.9 0.81 0.71 0.9 0.83 0.93 0.97 0.95 0.63 0.93 0.44
2_race( 0.97 0.78 0.95 0.92 0.66 0.85 0.2 0.96 0.97 0.95 0.44 0.64 0.96 0.53 0.9 0.81 0.71 0.9 0.83 0.93 0.97 0.95 0.63 0.93 0.44
3_sex( 0.31 0.6 0.95 0.32 0.18 0.83 0.9 0.96 0.92 0.86 0.28 0.17 0.49 0.77 0.92 0.91 0.93 0.81 0.96 0.45 0.92 0.9 0.46 0.17 0.96
3_race( 0.31 0.6 0.95 0.32 0.18 0.83 0.9 0.96 0.92 0.86 0.28 0.17 0.49 0.77 0.92 0.91 0.93 0.81 0.96 0.45 0.92 0.9 0.46 0.17 0.96
5_sex( 0.97 0.68 0.88 0.89 0.68 0.94 0.88 0.96 0.47 0.85 0.69 0.81 0.73 0.58 0.62 0.88 0.5 0.94 0.49 0.96 0.89 0.93 0.93 0.95 0.83
5_race( 0.97 0.68 0.88 0.89 0.68 0.94 0.88 0.96 0.47 0.85 0.69 0.81 0.73 0.58 0.62 0.88 0.5 0.94 0.49 0.96 0.89 0.93 0.93 0.95 0.83
767_sex( 0.99 0.98 1.0 0.98 0.98 0.99 0.98 0.98 0.98 0.99 1.0 0.98 0.98 0.99 0.99 1.0 0.99 1.0 0.98 0.97 0.98 0.99 0.99 0.99 1.0
767_race( 0.99 0.98 1.0 0.98 0.98 0.99 0.98 0.98 0.98 0.99 1.0 0.98 0.98 0.99 0.99 1.0 0.99 1.0 0.98 0.97 0.98 0.99 0.99 0.99 1.0
