1_race( 0.62 0.64 0.87 0.93 0.85 1.0 0.37 1.0 1.0 0.68 0.92 0.68 0.72 0.69 0.94 0.88 0.47 0.74 0.91 0.57 0.69 0.93 1.0 0.71 0.88
1_sex( 0.57 0.54 0.84 0.91 0.84 1.0 0.26 1.0 1.0 0.59 0.9 0.61 0.69 0.6 0.93 0.86 0.36 0.7 0.9 0.41 0.66 0.92 1.0 0.66 0.87
2_race( 0.87 0.86 0.98 0.8 0.59 0.67 0.39 0.61 0.62 0.76 0.47 0.59 0.67 0.33 0.79 0.5 0.7 0.55 0.8 0.63 0.91 0.62 0.53 0.64 0.37
2_sex( 0.86 0.85 0.97 0.74 0.56 0.69 0.31 0.53 0.59 0.7 0.44 0.55 0.69 0.34 0.77 0.48 0.64 0.52 0.78 0.53 0.89 0.67 0.44 0.58 0.37
3_race( 0.38 0.8 0.67 0.48 0.44 0.33 0.46 0.45 0.72 0.5 0.59 0.65 0.58 0.53 0.83 0.69 0.28 0.5 0.78 0.74 0.49 0.73 0.51 0.53 0.77
3_sex( 0.36 0.74 0.59 0.4 0.41 0.33 0.4 0.38 0.7 0.41 0.54 0.61 0.6 0.4 0.81 0.64 0.19 0.45 0.75 0.71 0.53 0.72 0.34 0.5 0.79
5_race( 0.38 0.48 0.63 0.91 0.65 0.69 0.46 0.61 0.55 0.44 0.45 0.51 0.56 0.64 0.7 0.38 0.33 0.53 0.48 0.46 0.47 0.76 0.67 0.4 0.4
5_sex( 0.4 0.38 0.59 0.91 0.62 0.62 0.37 0.53 0.5 0.33 0.49 0.45 0.57 0.57 0.7 0.29 0.33 0.45 0.42 0.38 0.5 0.74 0.69 0.37 0.39
732_race( 0.72 0.66 0.7 0.75 0.47 0.58 0.56 0.58 0.75 0.68 0.59 0.62 0.65 0.6 0.81 0.75 0.6 0.61 0.78 0.65 0.71 0.62 0.72 0.69 0.72
732_sex( 0.71 0.64 0.68 0.74 0.47 0.56 0.51 0.56 0.74 0.67 0.54 0.61 0.63 0.51 0.81 0.74 0.61 0.58 0.78 0.59 0.71 0.59 0.66 0.66 0.76
