,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,Age(,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,race(,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,sex(,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,Age(,1.0,1.0,1.0,1.0,0.93,0.93,0.91,1.0,1.0,0.92,0.94,0.87,0.82,0.83,1.0,0.88,1.0,0.91,0.85,0.92
2,race(,1.0,1.0,1.0,1.0,0.93,0.93,0.91,1.0,1.0,0.92,0.94,0.87,0.82,0.83,1.0,0.88,1.0,0.91,0.85,0.92
2,sex(,1.0,1.0,1.0,1.0,0.93,0.93,0.91,1.0,1.0,0.92,0.94,0.87,0.82,0.83,1.0,0.88,1.0,0.91,0.85,0.92
3,Age(,1.0,0.94,0.86,1.0,0.94,1.0,0.94,1.0,1.0,1.0,1.0,0.95,1.0,1.0,0.9,1.0,0.93,1.0,1.0,1.0
3,race(,1.0,0.94,0.86,1.0,0.94,1.0,0.94,1.0,1.0,1.0,1.0,0.95,1.0,1.0,0.9,1.0,0.93,1.0,1.0,1.0
3,sex(,1.0,0.94,0.86,1.0,0.94,1.0,0.94,1.0,1.0,1.0,1.0,0.95,1.0,1.0,0.9,1.0,0.93,1.0,1.0,1.0
5,Age(,0.97,1.0,0.93,0.96,1.0,1.0,0.97,1.0,1.0,0.94,0.97,0.97,0.91,1.0,0.9,0.96,0.96,0.93,0.97,0.97
5,race(,0.97,1.0,0.93,0.96,1.0,1.0,0.97,1.0,1.0,0.94,0.97,0.97,0.91,1.0,0.9,0.96,0.96,0.93,0.97,0.97
5,sex(,0.97,1.0,0.93,0.96,1.0,1.0,0.97,1.0,1.0,0.94,0.97,0.97,0.91,1.0,0.9,0.96,0.96,0.93,0.97,0.97
957,Age(,0.99,0.98,1.0,0.99,1.0,1.0,0.99,0.98,0.98,0.98,1.0,0.99,0.99,0.99,1.0,0.99,1.0,0.99,0.98,0.99
957,race(,0.99,0.98,1.0,0.99,1.0,1.0,0.99,0.98,0.98,0.98,1.0,0.99,0.99,0.99,1.0,0.99,1.0,0.99,0.98,0.99
957,sex(,0.99,0.98,1.0,0.99,1.0,1.0,0.99,0.98,0.98,0.98,1.0,0.99,0.99,0.99,1.0,0.99,1.0,0.99,0.98,0.99
