,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,sex(,-0.42,0.54,-0.5,0.0,-0.25,0.0,-0.25,0.0,-0.34,-0.1,0.4,-0.19,-0.25,-0.5,-0.25,-0.11,-0.5,-0.2,-0.25,0.5
1,foreign_worker(,0.22,0.54,0.38,0.5,0.12,0.0,0.1,0.0,0.2,0.59,0.3,0.22,0.25,0.5,0.2,0.22,0.16,0.3,0.25,0.5
1,savings(,0.22,0.55,0.38,0.5,0.12,0.0,0.1,0.0,0.2,0.61,0.31,0.22,0.25,0.5,0.2,0.22,0.16,0.31,0.25,0.5
1,Credit_amount(,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Age(,-0.34,0.54,0.38,0.0,0.16,0.0,0.1,0.0,-0.08,0.59,0.39,0.22,0.25,0.5,-0.38,-0.45,0.16,0.55,0.34,0.5
2,sex(,0.38,0.44,0.12,0.28,-0.08,0.06,-0.01,0.16,0.32,-0.14,-0.07,0.18,0.72,0.26,0.22,0.34,-0.1,-0.1,0.53,0.01
2,foreign_worker(,0.5,-0.44,0.18,0.24,0.22,0.42,0.14,0.27,0.2,-0.06,0.32,0.26,0.52,-0.27,-0.72,-0.09,-0.78,0.13,0.32,0.22
2,savings(,0.35,0.11,0.21,0.26,0.22,-0.11,0.16,-0.25,0.2,-0.16,0.32,0.29,0.45,0.28,-0.18,0.19,-0.21,0.52,-0.22,-0.26
2,Credit_amount(,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Age(,-0.02,0.11,-0.64,0.29,0.25,0.42,-0.05,0.2,-0.32,-0.05,0.35,-0.3,0.1,0.2,0.18,-0.62,0.38,-0.11,-0.25,0.05
3,sex(,-0.04,0.17,0.02,0.0,-0.12,-0.02,-0.12,-0.26,-0.21,-0.2,-0.1,-0.16,-0.15,-0.32,-0.05,0.01,-0.16,-0.1,0.19,-0.06
3,foreign_worker(,0.17,0.11,0.28,0.0,0.16,0.22,0.25,0.34,-0.25,0.18,-0.46,-0.04,0.27,0.24,0.03,0.12,-0.3,0.33,0.35,0.3
3,savings(,0.18,0.11,0.31,0.0,0.16,-0.32,-0.28,-0.19,0.29,0.18,0.09,-0.3,0.28,0.24,0.03,0.13,0.12,-0.19,-0.18,0.36
3,Credit_amount(,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Age(,-0.14,-0.04,0.06,0.0,0.08,-0.08,-0.11,0.1,0.14,0.11,0.1,0.08,-0.28,-0.18,0.04,0.03,0.11,0.2,0.02,0.1
5,sex(,0.05,0.06,0.06,-0.07,-0.12,0.04,-0.05,0.08,0.15,-0.02,0.2,0.06,0.14,0.2,-0.16,-0.12,-0.03,0.05,0.06,-0.14
5,foreign_worker(,0.3,0.22,0.12,0.1,-0.15,0.27,0.16,-0.27,0.25,0.29,-0.09,0.22,0.12,-0.26,0.24,0.18,0.27,0.26,0.26,0.32
5,savings(,0.12,0.22,0.26,0.1,0.36,0.28,0.16,0.24,0.18,0.2,0.3,0.2,0.31,0.26,0.24,0.18,0.26,0.26,0.26,0.27
5,Credit_amount(,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Age(,-0.22,-0.06,0.02,0.12,-0.27,-0.37,0.19,-0.08,0.0,0.11,0.12,-0.15,-0.29,-0.1,0.21,0.08,-0.41,-0.16,0.12,-0.03
999,sex(,0.19,0.22,0.08,-0.06,0.08,0.04,-0.01,0.1,0.07,0.08,0.1,0.1,0.14,0.06,0.07,0.01,0.12,0.12,0.05,0.01
999,foreign_worker(,0.23,0.2,0.18,-0.29,0.3,0.22,0.21,0.26,0.23,0.18,0.22,0.18,0.26,0.26,0.28,0.2,0.26,0.23,0.22,0.1
999,savings(,0.22,0.22,0.27,0.14,0.32,0.2,0.01,0.22,0.2,0.19,0.23,0.2,0.26,0.22,0.28,0.26,0.29,0.24,0.22,0.24
999,Credit_amount(,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
999,Age(,-0.04,-0.22,-0.08,-0.12,-0.14,-0.1,-0.09,-0.2,-0.03,-0.09,0.03,-0.22,-0.11,-0.12,-0.21,-0.14,-0.12,-0.15,0.04,-0.05
