1_race( 0.75 0.67 0.75 0.86 1.0 1.0 0.75 0.75 0.5 0.62 0.5 0.25 0.86 0.25 0.75 0.71 0.75 1.0 1.0 1.0
1_sex( -0.86 -0.8 -0.86 -0.86 -1.0 -1.0 -0.75 -0.75 -0.6 -0.62 -0.5 -0.33 -0.86 -0.33 -0.75 -0.83 -0.86 -1.0 -1.0 -1.0
1_Age( 0.75 -0.4 -0.29 0.86 0.0 0.0 0.75 0.33 0.5 -0.5 -0.6 -1.0 -0.17 0.25 -0.33 -0.33 -0.29 0.0 0.0 0.0
2_race( 0.86 0.92 0.83 0.79 -0.21 0.89 0.45 0.77 0.64 0.92 0.55 0.92 0.0 -0.17 0.9 1.0 1.0 0.83 -0.45 0.58
2_sex( 0.17 -1.0 0.2 -0.79 0.21 -0.89 -0.45 0.25 -0.7 -0.5 -0.6 0.09 0.0 0.17 0.11 0.0 0.12 0.18 -0.1 -0.64
2_Age( -0.17 -0.14 -0.2 0.21 0.0 0.25 -0.12 0.13 -0.18 -0.12 0.06 -0.14 0.0 -0.29 -0.17 0.0 0.17 -0.2 -0.37 -0.25
3_race( -0.05 -0.23 0.5 -0.41 -0.02 -0.12 0.94 0.38 -0.29 0.37 -0.21 -0.42 -0.35 0.42 0.8 -0.05 0.0 0.0 0.94 0.58
3_sex( 0.06 -0.79 0.06 -0.12 -0.68 0.11 0.06 0.21 -0.28 -0.37 0.21 -0.67 0.16 0.15 0.23 0.05 0.36 0.0 0.08 0.23
3_Age( -0.07 0.15 0.17 0.14 0.19 -0.18 -0.08 -0.05 0.31 0.33 -0.21 -0.42 -0.22 0.33 0.17 -0.07 0.42 0.0 -0.08 0.3
5_race( 0.11 -0.01 -0.19 0.3 0.14 0.25 0.24 0.15 0.03 0.2 0.09 0.4 0.0 0.13 0.24 0.12 -0.05 -0.22 -0.15 0.18
5_sex( -0.04 0.18 0.3 0.0 0.14 0.09 0.18 -0.18 0.12 0.05 0.1 0.17 -0.16 0.21 0.17 0.2 -0.02 -0.44 0.12 0.24
5_Age( 0.16 -0.03 -0.19 -0.26 0.2 0.29 -0.07 -0.07 -0.12 -0.07 -0.11 -0.03 0.04 0.41 0.12 -0.22 0.13 -0.17 -0.03 0.1
957_race( -0.11 0.15 0.06 -0.1 -0.02 0.12 0.04 -0.06 0.05 -0.01 0.09 0.02 0.08 0.2 0.03 -0.02 0.03 -0.07 0.1 -0.08
957_sex( 0.17 -0.12 -0.22 0.02 -0.18 -0.3 -0.04 -0.26 -0.07 0.07 -0.28 -0.1 -0.21 -0.25 0.07 -0.13 -0.16 0.12 -0.06 -0.23
957_Age( 0.04 0.12 -0.05 0.03 0.13 -0.02 0.09 0.04 0.09 -0.01 -0.03 -0.0 0.06 0.29 0.02 0.03 0.0 0.16 0.01 0.2
