1_race( 0.12 0.26 0.05 0.23 0.0 0.0 0.2 0.0 0.14 0.0 0.0 0.25 0.13 0.0 0.06 0.16 0.19 0.05 0.13 0.12 0.13 0.0 0.4 0.46 0.11
1_sex( 0.13 0.18 0.07 0.2 0.0 0.0 0.13 0.03 0.1 0.0 0.01 0.06 0.09 0.0 0.04 0.16 0.07 0.02 0.15 0.07 0.11 0.0 0.32 0.36 0.1
2_race( 0.12 0.09 0.1 0.0 0.09 0.03 0.4 0.0 0.45 0.0 0.74 0.05 0.13 0.15 0.35 0.84 0.15 0.14 0.16 0.0 0.53 0.45 0.0 0.04 0.28
2_sex( 0.24 0.14 0.07 0.01 0.1 0.05 0.3 0.04 0.33 0.03 0.47 0.05 0.08 0.18 0.4 0.78 0.15 0.05 0.15 0.03 0.55 0.39 0.06 0.0 0.23
3_race( 0.16 0.09 0.15 0.05 0.61 0.58 0.16 0.4 0.36 0.05 0.74 0.05 0.06 0.0 0.47 0.68 0.63 0.1 0.03 0.0 0.13 0.75 0.8 0.04 0.72
3_sex( 0.13 0.04 0.14 0.23 0.6 0.75 0.35 0.45 0.33 0.06 0.71 0.09 0.04 0.01 0.39 0.65 0.45 0.12 0.03 0.04 0.08 0.76 0.8 0.01 0.71
5_race( 0.44 0.0 0.05 0.59 0.13 0.61 0.2 0.5 0.45 0.38 0.45 0.4 0.52 0.15 0.06 0.2 0.04 0.38 0.06 0.0 0.4 0.2 0.23 0.15 0.11
5_sex( 0.4 0.03 0.12 0.48 0.13 0.66 0.21 0.55 0.55 0.44 0.41 0.31 0.57 0.19 0.0 0.3 0.01 0.5 0.01 0.01 0.42 0.27 0.28 0.12 0.16
767_race( 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
767_sex( 0.0 0.01 0.0 0.0 0.0 0.0 0.0 0.0 0.01 0.0 0.0 0.0 0.0 0.01 0.0 0.0 0.0 0.0 0.0 0.01 0.0 0.01 0.0 0.0 0.0
