1_race( 0.62 1.0 1.0 0.95 1.0 1.0 0.48 1.0 0.97 0.86 0.85 0.72 0.67 1.0 0.81 0.92 0.65 0.98 0.82 0.71 1.0 0.38 0.7 0.91 1.0
1_sex( 0.57 1.0 1.0 0.94 1.0 1.0 0.29 1.0 0.97 0.83 0.83 0.7 0.57 1.0 0.77 0.9 0.56 0.98 0.78 0.66 1.0 0.34 0.63 0.89 1.0
2_race( 0.87 0.33 0.58 0.93 0.44 0.78 0.61 0.52 0.79 0.56 0.58 0.57 0.44 0.51 0.78 0.35 0.74 0.74 0.61 0.85 0.42 0.85 0.75 0.28 0.56
2_sex( 0.86 0.24 0.53 0.91 0.49 0.76 0.47 0.45 0.76 0.53 0.55 0.53 0.29 0.49 0.74 0.29 0.74 0.7 0.56 0.83 0.38 0.84 0.71 0.16 0.49
3_race( 0.38 0.53 0.67 0.72 0.51 0.62 0.83 0.67 0.42 0.47 0.46 1.0 0.62 0.58 0.59 0.73 0.38 0.6 0.82 0.61 0.65 0.82 0.45 0.52 0.74
3_sex( 0.36 0.47 0.61 0.62 0.46 0.55 0.79 0.65 0.36 0.39 0.4 1.0 0.6 0.63 0.55 0.71 0.3 0.57 0.78 0.54 0.6 0.81 0.43 0.43 0.69
5_race( 0.38 0.65 0.29 0.63 0.58 0.62 0.52 0.48 0.39 0.42 0.4 0.57 0.38 0.4 0.65 0.41 0.53 0.7 0.66 0.51 0.49 0.47 0.75 0.41 0.56
5_sex( 0.4 0.61 0.29 0.62 0.59 0.63 0.38 0.48 0.3 0.44 0.36 0.56 0.29 0.37 0.58 0.34 0.41 0.67 0.69 0.49 0.42 0.44 0.69 0.38 0.51
732_race( 0.47 0.52 0.43 0.45 0.35 0.45 0.46 0.47 0.45 0.44 0.45 0.46 0.42 0.38 0.47 0.46 0.33 0.5 0.48 0.41 0.53 0.42 0.44 0.44 0.56
732_sex( 0.45 0.49 0.38 0.43 0.31 0.44 0.4 0.41 0.43 0.37 0.39 0.45 0.46 0.29 0.44 0.43 0.33 0.45 0.5 0.35 0.55 0.41 0.41 0.39 0.55
