1_sex( -0.01 0.03 0.08 -0.16 0.1 -0.4 0.32 -0.02 0.04 -0.23 0.21 0.03 0.04 0.08 0.01 0.0 -0.35 0.01 0.16 0.0 -0.01 0.14 -0.04 0.06 -0.03
1_race( 0.02 0.16 -0.01 0.19 0.19 0.31 0.07 0.02 -0.05 0.25 0.17 0.09 0.21 0.13 -0.02 0.0 0.34 -0.02 0.16 0.0 0.0 0.34 0.11 0.14 0.03
2_sex( -0.07 0.12 0.05 -0.15 0.0 0.0 -0.05 -0.17 0.17 0.01 0.13 0.0 -0.07 0.03 0.25 -0.1 -0.19 -0.1 0.21 0.11 -0.03 0.16 0.09 0.19 0.03
2_race( -0.02 -0.07 0.0 0.22 0.0 0.0 0.15 -0.01 0.23 -0.02 0.5 0.0 -0.14 0.11 0.11 0.03 0.11 -0.05 0.34 0.1 0.06 0.15 0.13 0.23 -0.03
3_sex( 0.0 0.03 0.0 -0.07 0.01 0.01 0.09 -0.03 0.0 0.01 0.01 -0.06 0.07 0.12 0.15 0.08 0.04 0.0 0.0 0.06 0.0 0.01 -0.1 0.13 0.15
3_race( 0.0 -0.03 0.0 0.26 0.03 0.04 -0.03 0.01 0.0 -0.02 -0.02 0.18 -0.04 0.25 0.06 -0.22 0.05 0.0 0.08 -0.09 0.0 0.04 0.25 0.02 -0.03
5_sex( -0.04 0.06 -0.04 0.0 -0.1 -0.07 -0.06 -0.1 0.08 -0.26 0.03 0.14 -0.02 -0.17 0.07 0.16 0.0 -0.03 0.0 0.06 -0.03 0.25 0.03 0.17 0.01
5_race( 0.1 0.26 -0.02 0.0 0.1 0.14 0.06 0.05 -0.09 0.15 0.02 -0.01 0.05 0.1 0.22 0.18 0.0 0.04 0.0 0.01 0.0 -0.07 0.04 0.08 -0.02
761_sex( 0.0 0.0 0.0 0.0 0.0 -0.06 0.0 0.0 0.0 0.0 0.0 0.0 -0.06 0.01 0.0 0.0 0.01 0.0 -0.07 0.0 0.0 0.01 0.0 -0.08 0.0
761_race( 0.0 0.0 0.0 0.0 0.0 -0.04 0.0 0.0 0.0 0.0 0.0 0.0 -0.01 -0.02 0.0 0.0 -0.02 0.0 -0.02 0.0 0.0 -0.01 0.0 -0.02 0.0
