1_sex( -0.38 -0.56 -0.3 -0.49 -0.2 -0.48 -0.31 0.34 -0.49 -0.12 -0.56 -0.44 -0.32 -0.49 -0.36 -0.55 -0.57 -0.66 -0.52 -0.36
1_Age( 0.16 0.07 0.08 0.18 0.2 0.14 -0.28 0.12 -0.06 0.12 -0.11 0.44 -0.21 0.14 0.36 0.2 0.36 0.5 0.29 0.48
1_race( 0.38 0.56 0.3 0.71 0.45 0.44 0.3 0.29 0.46 0.65 0.56 0.42 0.32 0.71 0.36 0.52 0.57 0.63 0.52 0.36
2_sex( -0.32 -0.35 -0.36 0.03 0.0 -0.53 0.16 -0.22 -0.46 -0.16 -0.1 -0.55 -0.04 -0.54 -0.39 -0.71 -0.47 -0.37 -0.5 -0.21
2_Age( -0.12 -0.26 -0.12 -0.46 0.08 -0.06 -0.29 0.16 0.04 0.04 -0.04 0.05 0.24 -0.24 0.4 -0.02 0.02 0.34 -0.29 0.15
2_race( 0.1 -0.29 0.0 0.04 0.1 0.19 -0.18 0.13 0.15 0.11 0.03 0.05 -0.08 -0.3 -0.18 -0.06 0.23 -0.16 -0.04 0.05
3_sex( 0.09 0.04 0.01 -0.24 -0.02 -0.04 0.0 -0.31 -0.21 0.14 -0.16 -0.32 -0.08 0.05 0.06 0.15 -0.01 0.22 0.1 0.04
3_Age( -0.09 -0.04 -0.34 -0.08 0.09 -0.01 -0.02 -0.11 -0.32 -0.46 -0.05 0.05 -0.17 -0.24 0.04 0.02 -0.16 -0.26 -0.27 -0.1
3_race( 0.31 0.06 0.24 0.22 0.03 -0.02 0.1 0.18 0.06 0.31 0.01 -0.19 -0.05 0.24 -0.01 -0.02 0.1 0.11 0.32 0.14
5_sex( 0.05 0.06 0.05 -0.41 0.09 0.17 0.18 -0.11 0.12 0.14 0.03 0.07 0.08 -0.12 0.07 -0.01 -0.38 0.14 0.02 -0.11
5_Age( -0.05 0.07 -0.26 -0.25 -0.26 0.05 -0.04 0.04 -0.1 0.12 -0.09 -0.24 -0.24 0.09 0.06 -0.15 -0.02 -0.01 -0.02 -0.07
5_race( -0.12 0.07 0.01 -0.07 -0.28 0.02 0.13 0.22 -0.03 0.16 0.23 0.43 0.06 0.32 0.08 -0.28 -0.02 -0.06 -0.08 0.02
957_sex( -0.06 -0.07 -0.14 -0.14 -0.04 -0.02 -0.09 -0.01 -0.02 -0.16 0.02 -0.06 -0.09 -0.11 -0.13 0.0 -0.04 -0.06 0.0 -0.27
957_Age( 0.0 0.03 0.06 0.05 0.01 -0.14 -0.05 -0.08 -0.02 0.03 0.05 -0.12 -0.09 -0.02 0.0 -0.12 -0.14 -0.05 -0.02 0.04
957_race( 0.04 0.04 -0.02 -0.04 0.02 0.05 0.05 -0.06 0.04 0.05 0.06 0.09 -0.04 -0.02 0.04 -0.07 0.08 -0.0 0.01 0.04
