1.0_sex( -0.61 0.52 -0.2 0.03 -0.04 -0.09 0.15 0.0 -0.46 0.03 -0.45 -0.53 -0.42 0.0 -0.05 -0.5 -0.49 -0.08 -0.57 -0.5
1.0_race( 0.82 0.24 0.62 0.74 0.76 0.31 0.66 0.76 0.7 0.68 0.73 0.66 0.06 0.24 0.29 0.82 0.7 0.25 0.3 0.82
1.0_Age( -0.02 0.22 0.32 0.42 0.1 -0.08 0.16 0.8 -0.16 -0.26 -0.04 0.01 0.06 -0.02 0.01 -0.02 -0.02 0.0 0.06 -0.08
2.0_sex( -0.02 -0.04 0.02 -0.28 -0.06 -0.2 -0.08 -0.02 -0.14 0.18 -0.14 0.06 -0.02 -0.18 0.24 -0.1 0.04 -0.21 -0.13 0.15
2.0_race( -0.24 0.12 0.22 0.78 0.21 0.44 0.22 0.4 0.5 0.36 0.34 0.26 0.26 0.36 0.57 0.02 0.27 0.3 0.26 0.21
2.0_Age( -0.06 0.04 -0.06 -0.08 -0.16 -0.07 -0.01 -0.06 0.26 -0.08 -0.06 -0.08 -0.02 0.01 0.16 0.06 -0.02 0.04 0.04 -0.09
3.0_sex( -0.02 0.26 0.2 -0.02 0.02 -0.0 0.01 0.12 0.14 0.22 0.11 -0.27 0.06 -0.13 0.01 -0.08 -0.05 -0.05 -0.05 -0.0
3.0_race( 0.34 0.11 0.13 0.22 0.22 0.34 0.2 0.13 0.26 -0.08 0.29 0.28 0.17 -0.06 0.22 0.3 0.21 0.26 0.22 0.24
3.0_Age( -0.07 -0.08 -0.1 0.06 0.08 -0.02 0.21 -0.14 0.17 -0.05 0.27 -0.02 -0.01 -0.19 0.14 0.04 -0.01 0.15 0.01 -0.1
5.0_sex( -0.05 0.05 -0.05 -0.11 -0.02 0.06 0.07 -0.16 -0.02 0.04 -0.04 0.06 -0.12 -0.06 0.1 -0.08 -0.08 -0.12 -0.02 -0.09
5.0_race( 0.27 0.29 0.26 0.3 0.39 0.16 0.36 0.34 0.31 0.28 0.38 0.25 0.36 0.28 0.31 0.28 0.18 0.3 0.24 0.18
5.0_Age( 0.14 0.15 0.02 -0.04 0.13 -0.01 -0.01 0.01 0.04 0.04 -0.24 0.06 -0.06 -0.11 0.04 0.0 -0.02 0.07 0.02 -0.01
957.0_sex( -0.05 0.0 0.02 0.06 0.1 0.01 -0.02 -0.01 0.06 -0.01 -0.03 0.02 -0.08 -0.05 -0.01 -0.04 0.01 0.06 -0.01 -0.05
957.0_race( 0.34 0.24 0.24 0.34 0.24 0.29 0.25 0.22 0.28 0.22 0.34 0.22 0.33 0.28 0.29 0.26 0.31 0.24 0.25 0.26
957.0_Age( -0.06 0.04 -0.06 -0.06 0.07 0.01 -0.05 -0.02 0.0 0.06 -0.04 0.08 0.06 -0.09 0.14 0.0 0.11 0.12 0.05 0.01
