1_race( 0.26 0.0 0.43 0.09 0.18 0.04 0.44 0.24 0.36 0.26 0.24 0.27 0.44 0.18 0.34 0.23 0.07 0.0 0.39 0.09 0.33 0.09 0.35 0.2 0.47 0.0
1_sex( 0.29 0.0 0.54 0.11 0.19 0.04 0.51 0.28 0.25 0.33 0.29 0.32 0.54 0.23 0.37 0.26 0.08 0.0 0.45 0.12 0.06 0.1 0.47 0.24 0.53 0.0
2_race( 0.6 0.32 0.59 0.59 0.35 0.6 0.37 0.32 0.47 0.38 0.37 0.54 0.33 0.56 0.43 0.38 0.4 0.66 0.7 0.43 0.38 0.71 0.53 0.62 0.47 0.0
2_sex( 0.44 0.29 0.45 0.46 -0.16 0.12 0.43 -0.02 0.05 -0.06 0.14 0.25 -0.21 0.59 0.47 0.05 -0.04 0.3 0.03 -0.09 -0.06 0.44 0.35 0.06 0.53 0.0
3_race( 0.53 0.54 0.63 0.45 0.65 0.44 0.51 0.53 0.58 0.59 0.65 0.54 0.7 0.42 0.36 0.54 0.58 0.68 0.46 0.72 0.22 0.6 0.4 0.58 0.74 0.0
3_sex( -0.08 0.23 0.65 0.29 0.69 0.29 0.01 0.43 0.51 0.38 0.33 -0.15 0.4 0.16 0.4 0.24 0.01 0.33 0.52 0.41 -0.08 0.31 0.53 0.35 0.84 0.0
5_race( 0.77 0.5 0.43 0.48 0.71 0.65 0.71 0.58 0.81 0.59 0.65 0.65 0.65 0.6 0.47 0.54 0.72 0.58 0.78 0.87 0.58 0.58 0.56 0.67 0.65 0.0
5_sex( 0.19 0.17 0.13 0.04 0.75 0.31 0.05 0.49 0.11 0.2 -0.12 -0.42 0.19 0.13 0.24 0.62 -0.16 -0.02 0.52 0.16 0.01 0.28 -0.23 0.11 -0.39 0.0
27_race( 0.87 0.88 0.91 0.93 0.91 0.96 0.9 0.82 0.92 0.94 0.96 0.89 0.86 0.91 0.96 0.94 0.93 0.89 0.89 0.96 0.91 0.87 0.88 0.87 0.88 0.0
27_sex( -0.14 -0.04 0.03 0.05 0.44 -0.04 0.08 0.18 -0.09 0.11 0.1 -0.13 -0.17 0.01 0.23 -0.07 0.09 0.11 0.07 0.05 -0.11 0.04 -0.03 0.01 -0.13 0.0
