1_sex( 1.0 0.59 0.87 0.52 0.77 0.77 0.52 0.75 0.72 0.6 0.81 0.76 0.79 0.77 0.88 0.8 0.94 0.94 0.8 0.54 0.56 0.96 0.77 0.82 0.71 0.0
1_race( 1.0 0.59 0.87 0.52 0.77 0.77 0.52 0.75 0.72 0.6 0.81 0.76 0.79 0.77 0.88 0.8 0.94 0.94 0.8 0.54 0.56 0.96 0.77 0.82 0.71 0.0
7_sex( 0.9 0.81 0.82 0.82 0.88 0.88 0.86 0.87 0.82 0.8 0.77 0.86 0.81 0.71 0.86 0.76 0.88 0.9 0.85 0.8 0.86 0.79 0.85 0.84 0.83 0.0
7_race( 0.9 0.81 0.82 0.82 0.88 0.88 0.86 0.87 0.82 0.8 0.77 0.86 0.81 0.71 0.86 0.76 0.88 0.9 0.85 0.8 0.86 0.79 0.85 0.84 0.83 0.0
10_sex( 0.87 0.82 0.86 0.78 0.84 0.84 0.86 0.83 0.86 0.81 0.85 0.91 0.8 0.81 0.84 0.8 0.8 0.89 0.87 0.84 0.84 0.79 0.85 0.85 0.85 0.0
10_race( 0.87 0.82 0.86 0.78 0.84 0.84 0.86 0.83 0.86 0.81 0.85 0.91 0.8 0.81 0.84 0.8 0.8 0.89 0.87 0.84 0.84 0.79 0.85 0.85 0.85 0.0
17_sex( 0.9 0.88 0.85 0.81 0.82 0.91 0.88 0.88 0.85 0.8 0.86 0.92 0.82 0.82 0.85 0.84 0.88 0.9 0.83 0.82 0.88 0.81 0.87 0.86 0.85 0.0
17_race( 0.9 0.88 0.85 0.81 0.82 0.91 0.88 0.88 0.85 0.8 0.86 0.92 0.82 0.82 0.85 0.84 0.88 0.9 0.83 0.82 0.88 0.81 0.87 0.86 0.85 0.0
20_sex( 0.91 0.86 0.85 0.85 0.84 0.9 0.85 0.85 0.85 0.8 0.85 0.93 0.83 0.81 0.85 0.85 0.86 0.89 0.85 0.84 0.87 0.81 0.86 0.86 0.84 0.0
20_race( 0.91 0.86 0.85 0.85 0.84 0.9 0.85 0.85 0.85 0.8 0.85 0.93 0.83 0.81 0.85 0.85 0.86 0.89 0.85 0.84 0.87 0.81 0.86 0.86 0.84 0.0
27_sex( 0.91 0.86 0.87 0.8 0.91 0.89 0.86 0.88 0.88 0.8 0.84 0.94 0.82 0.83 0.86 0.81 0.85 0.9 0.87 0.83 0.88 0.78 0.86 0.88 0.85 0.0
27_race( 0.91 0.86 0.87 0.8 0.91 0.89 0.86 0.88 0.88 0.8 0.84 0.94 0.82 0.83 0.86 0.81 0.85 0.9 0.87 0.83 0.88 0.78 0.86 0.88 0.85 0.0
