1_sex( 0.98 0.95 0.97 0.97 0.98 0.96 0.98 0.95 0.97 0.97 0.97 0.97 0.94 0.89 0.99 0.98 0.98 0.91 0.96 0.96 0.96 0.98 0.95 0.97 0.93 
1_race( 0.98 0.95 0.97 0.97 0.98 0.96 0.98 0.95 0.97 0.97 0.97 0.97 0.94 0.89 0.99 0.98 0.98 0.91 0.96 0.96 0.96 0.98 0.95 0.97 0.93 
7_sex( 0.87 0.97 0.94 0.97 0.98 0.9 0.95 0.94 0.97 0.97 0.99 0.84 0.88 0.91 0.97 0.92 0.98 0.95 0.93 0.97 0.94 0.97 0.88 0.94 0.98 
7_race( 0.87 0.97 0.94 0.97 0.98 0.9 0.95 0.94 0.97 0.97 0.99 0.84 0.88 0.91 0.97 0.92 0.98 0.95 0.93 0.97 0.94 0.97 0.88 0.94 0.98 
10_sex( 0.96 0.96 0.92 0.97 0.89 0.92 0.95 0.93 0.98 0.96 0.89 0.87 0.97 0.99 0.97 0.88 0.98 0.98 0.95 0.97 0.87 0.98 0.88 0.97 0.99 
10_race( 0.96 0.96 0.92 0.97 0.89 0.92 0.95 0.93 0.98 0.96 0.89 0.87 0.97 0.99 0.97 0.88 0.98 0.98 0.95 0.97 0.87 0.98 0.88 0.97 0.99 
17_sex( 0.97 0.95 0.98 0.98 0.96 0.96 0.97 0.95 0.94 0.96 0.98 0.99 0.97 0.97 1.0 0.95 0.94 0.98 0.96 0.98 0.97 0.99 0.95 0.94 0.98 
17_race( 0.97 0.95 0.98 0.98 0.96 0.96 0.97 0.95 0.94 0.96 0.98 0.99 0.97 0.97 1.0 0.95 0.94 0.98 0.96 0.98 0.97 0.99 0.95 0.94 0.98 
20_sex( 0.98 0.96 0.98 0.98 0.98 1.0 0.99 0.98 0.97 0.97 0.99 1.0 0.97 0.98 1.0 0.95 0.96 0.97 1.0 0.98 0.99 0.99 0.94 0.98 0.99 
20_race( 0.98 0.96 0.98 0.98 0.98 1.0 0.99 0.98 0.97 0.97 0.99 1.0 0.97 0.98 1.0 0.95 0.96 0.97 1.0 0.98 0.99 0.99 0.94 0.98 0.99 
27_sex( 1.0 0.98 0.99 0.99 0.98 0.99 0.99 0.97 0.99 0.99 0.98 0.98 0.98 0.99 0.99 0.99 0.99 0.98 0.98 0.99 0.99 0.99 0.99 0.99 0.98 
27_race( 1.0 0.98 0.99 0.99 0.98 0.99 0.99 0.97 0.99 0.99 0.98 0.98 0.98 0.99 0.99 0.99 0.99 0.98 0.98 0.99 0.99 0.99 0.99 0.99 0.98 
