1_sex( 0.15 0.18 0.31 0.16 0.1 0.23 0.2 0.16 0.08 0.29 0.07 0.1 0.16 0.16 0.14 0.19 0.18 0.2 0.1 0.21 0.02 0.13 0.17 0.1 0.02 0.0
1_race( 0.14 0.14 0.23 0.12 0.1 0.18 0.16 0.3 0.08 0.22 0.05 0.08 0.12 0.12 0.12 0.16 0.14 0.16 0.08 0.16 0.01 0.11 0.2 0.08 0.01 0.0
7_sex( -0.18 0.02 0.06 0.16 0.12 -0.05 0.1 -0.13 0.05 0.18 0.04 0.07 -0.11 0.3 0.14 0.27 -0.04 0.26 0.05 -0.03 -0.2 0.08 0.14 0.03 0.18 0.0
7_race( 0.34 0.38 0.38 0.4 0.36 0.3 0.34 0.31 0.42 0.36 0.42 0.46 0.36 0.28 0.36 0.31 0.33 0.41 0.32 0.36 0.35 0.39 0.36 0.38 0.36 0.0
10_sex( -0.05 -0.08 0.02 -0.03 0.08 0.06 0.1 0.23 0.02 0.01 0.18 0.08 -0.16 0.28 0.1 0.08 0.0 0.14 -0.08 0.06 0.01 -0.06 0.0 -0.05 0.1 0.0
10_race( 0.37 0.34 0.46 0.42 0.33 0.5 0.34 0.35 0.36 0.44 0.34 0.47 0.31 0.36 0.36 0.32 0.43 0.32 0.34 0.43 0.43 0.44 0.4 0.4 0.39 0.0
17_sex( -0.01 0.06 0.08 0.09 -0.06 0.1 0.09 0.09 0.12 0.06 0.01 0.15 0.08 0.12 0.06 0.08 -0.02 0.06 -0.0 0.12 -0.02 0.1 -0.06 0.08 0.01 0.0
17_race( 0.49 0.41 0.39 0.46 0.44 0.44 0.42 0.41 0.46 0.48 0.46 0.36 0.38 0.46 0.43 0.4 0.48 0.44 0.4 0.42 0.41 0.44 0.42 0.42 0.43 0.0
20_sex( -0.03 -0.06 0.0 0.08 0.2 0.01 -0.14 -0.02 -0.01 0.09 -0.04 0.08 0.08 0.1 -0.06 0.22 -0.02 -0.08 -0.05 0.04 0.02 0.0 -0.02 0.08 0.02 0.0
20_race( 0.46 0.41 0.44 0.39 0.46 0.45 0.4 0.48 0.48 0.44 0.42 0.42 0.44 0.42 0.45 0.44 0.42 0.42 0.44 0.44 0.44 0.44 0.44 0.42 0.42 0.0
27_sex( 0.02 -0.06 0.02 0.08 -0.02 -0.02 0.14 0.02 -0.03 -0.04 0.06 -0.03 -0.04 0.1 0.08 -0.06 -0.07 0.02 0.04 0.01 -0.04 0.04 0.0 0.0 -0.08 0.0
27_race( 0.42 0.46 0.46 0.46 0.49 0.48 0.45 0.43 0.48 0.47 0.42 0.48 0.4 0.47 0.45 0.44 0.44 0.42 0.45 0.42 0.46 0.45 0.5 0.42 0.44 0.0
