1_sex( 0.09 0.0 0.0 0.14 0.19 0.0 0.0 0.09 0.15 0.06 0.09 0.25 0.0 0.0 0.0 0.1 0.17 0.15 0.0 0.08 0.09 0.09 0.0 0.0 0.0 0.0
1_race( 0.02 0.0 0.07 0.03 0.03 0.0 0.0 0.08 0.0 0.04 0.02 0.03 0.0 0.0 0.0 0.0 0.0 0.14 0.14 0.05 0.0 0.02 0.0 0.03 0.0 0.0
1_Age( 0.02 0.0 0.0 0.05 0.09 0.0 0.0 0.05 0.02 0.02 0.02 0.03 0.0 0.0 0.0 0.04 0.02 0.09 0.1 0.05 0.02 0.02 0.0 0.02 0.0 0.0
2_sex( 0.45 0.56 0.67 0.0 0.56 0.38 0.14 0.0 0.31 0.06 0.0 0.0 0.42 0.13 0.44 0.1 0.0 0.23 0.0 0.0 0.45 0.36 0.73 0.11 0.0 0.0
2_race( 0.52 0.35 0.54 0.01 0.45 0.23 0.02 0.03 0.33 0.06 0.03 0.0 0.11 0.05 0.33 0.04 0.02 0.22 0.03 0.0 0.45 0.38 0.71 0.11 0.08 0.0
2_Age( 0.57 0.35 0.57 0.02 0.43 0.27 0.02 0.02 0.28 0.08 0.02 0.0 0.09 0.11 0.37 0.09 0.07 0.31 0.01 0.0 0.34 0.41 0.67 0.12 0.1 0.0
3_sex( 0.45 0.89 0.08 0.0 0.5 0.5 0.86 0.45 0.15 0.0 0.09 0.12 0.08 0.0 0.22 0.6 0.17 0.38 0.62 0.23 0.82 0.36 0.45 0.0 0.23 0.0
3_race( 0.45 0.53 0.09 0.01 0.55 0.42 0.57 0.39 0.32 0.02 0.08 0.0 0.1 0.0 0.22 0.38 0.1 0.26 0.37 0.22 0.59 0.22 0.39 0.05 0.22 0.0
3_Age( 0.52 0.65 0.06 0.02 0.51 0.42 0.56 0.37 0.33 0.02 0.09 0.02 0.11 0.0 0.23 0.33 0.14 0.3 0.35 0.31 0.62 0.24 0.4 0.05 0.24 0.0
5_sex( 0.27 0.33 0.08 0.29 0.44 0.5 0.43 0.36 0.15 0.38 0.36 0.0 0.67 0.27 0.0 0.2 0.17 0.38 0.31 0.15 0.45 0.09 0.45 0.11 0.0 0.0
5_race( 0.28 0.32 0.05 0.17 0.41 0.21 0.31 0.32 0.21 0.35 0.3 0.11 0.41 0.11 0.05 0.16 0.12 0.26 0.38 0.15 0.39 0.17 0.39 0.09 0.02 0.0
5_Age( 0.35 0.37 0.06 0.16 0.38 0.15 0.33 0.31 0.26 0.43 0.28 0.17 0.37 0.18 0.04 0.22 0.12 0.27 0.32 0.25 0.4 0.15 0.41 0.12 0.02 0.0
27_sex( 0.0 0.0 0.0 0.0 0.0 0.0 0.14 0.0 0.0 0.0 0.0 0.0 0.0 0.07 0.11 0.0 0.17 0.0 0.0 0.08 0.0 0.0 0.0 0.0 0.0 0.0
27_race( 0.0 0.08 0.02 0.01 0.02 0.02 0.05 0.04 0.04 0.0 0.02 0.03 0.05 0.04 0.0 0.06 0.03 0.0 0.01 0.03 0.02 0.0 0.03 0.06 0.02 0.0
27_Age( 0.02 0.11 0.02 0.02 0.01 0.02 0.09 0.03 0.03 0.0 0.0 0.03 0.06 0.07 0.02 0.07 0.04 0.02 0.04 0.05 0.0 0.02 0.07 0.05 0.02 0.0
