1_race( 0.0 0.05 0.0 0.01 0.03 0.02 0.06 0.06 0.02 0.03 0.03 0.02 0.07 0.1 0.04 0.03 0.03 0.09 0.02 0.0 0.05 0.01 0.1 0.0 0.06 
1_sex( 0.01 0.04 0.07 0.01 0.01 0.09 0.09 0.01 0.01 0.03 0.05 0.0 0.1 0.02 0.01 0.03 0.06 0.01 0.16 0.01 0.06 0.02 0.05 0.0 0.04 
1_Age( 0.07 0.1 0.06 0.03 0.02 0.03 0.0 0.03 0.13 0.0 0.04 0.06 0.03 0.01 0.05 0.05 0.02 0.05 0.11 0.05 0.03 0.01 0.12 0.0 0.06 
2_race( 0.08 0.03 0.02 0.02 0.03 0.0 0.09 0.0 0.09 0.01 0.07 0.01 0.05 0.0 0.07 0.04 0.02 0.02 0.03 0.05 0.05 0.06 0.03 0.08 0.04 
2_sex( 0.06 0.03 0.1 0.01 0.13 0.08 0.02 0.03 0.0 0.14 0.01 0.0 0.07 0.01 0.03 0.05 0.01 0.02 0.05 0.06 0.03 0.12 0.01 0.08 0.17 
2_Age( 0.02 0.01 0.16 0.02 0.02 0.04 0.0 0.01 0.07 0.15 0.07 0.03 0.04 0.0 0.08 0.06 0.04 0.08 0.01 0.08 0.06 0.1 0.01 0.1 0.02 
3_race( 0.02 0.04 0.03 0.01 0.03 0.01 0.07 0.01 0.02 0.01 0.03 0.04 0.02 0.05 0.06 0.03 0.02 0.02 0.02 0.05 0.02 0.08 0.03 0.03 0.0 
3_sex( 0.05 0.01 0.03 0.0 0.01 0.01 0.0 0.0 0.02 0.01 0.01 0.07 0.14 0.03 0.03 0.03 0.06 0.06 0.07 0.03 0.06 0.02 0.01 0.04 0.02 
3_Age( 0.03 0.06 0.04 0.03 0.01 0.03 0.04 0.14 0.15 0.03 0.03 0.02 0.08 0.03 0.01 0.06 0.06 0.09 0.09 0.0 0.05 0.05 0.0 0.18 0.0 
5_race( 0.08 0.04 0.05 0.03 0.01 0.06 0.1 0.01 0.02 0.05 0.0 0.07 0.02 0.09 0.03 0.01 0.07 0.06 0.05 0.03 0.1 0.0 0.03 0.05 0.01 
5_sex( 0.04 0.05 0.02 0.06 0.05 0.0 0.02 0.03 0.05 0.14 0.07 0.07 0.02 0.07 0.07 0.13 0.01 0.13 0.11 0.1 0.07 0.01 0.03 0.03 0.03 
5_Age( 0.1 0.01 0.05 0.03 0.08 0.11 0.01 0.09 0.14 0.06 0.02 0.07 0.07 0.05 0.01 0.09 0.07 0.02 0.06 0.09 0.0 0.03 0.04 0.11 0.01 
39_race( 0.03 0.03 0.01 0.0 0.0 0.05 0.07 0.04 0.01 0.01 0.07 0.09 0.0 0.11 0.03 0.02 0.08 0.01 0.01 0.03 0.02 0.03 0.01 0.01 0.06 
39_sex( 0.16 0.01 0.09 0.07 0.1 0.04 0.11 0.03 0.13 0.17 0.1 0.07 0.14 0.04 0.02 0.08 0.08 0.03 0.16 0.06 0.04 0.05 0.05 0.1 0.22 
39_Age( 0.18 0.13 0.1 0.02 0.15 0.01 0.07 0.04 0.17 0.07 0.1 0.08 0.03 0.08 0.03 0.1 0.1 0.01 0.14 0.06 0.03 0.05 0.01 0.13 0.11 
