1_sex( 0.38 0.36 0.13 0.07 0.15 0.0 0.63 0.0 0.0 0.32 0.08 0.32 0.28 0.31 0.06 0.12 0.53 0.26 0.09 0.43 0.31 0.07 0.0 0.29 0.12
1_race( 0.38 0.36 0.13 0.07 0.15 0.0 0.63 0.0 0.0 0.32 0.08 0.32 0.28 0.31 0.06 0.12 0.53 0.26 0.09 0.43 0.31 0.07 0.0 0.29 0.12
2_sex( 0.13 0.14 0.02 0.2 0.41 0.33 0.61 0.39 0.38 0.24 0.53 0.41 0.33 0.67 0.21 0.5 0.3 0.45 0.2 0.37 0.09 0.38 0.47 0.36 0.63
2_race( 0.13 0.14 0.02 0.2 0.41 0.33 0.61 0.39 0.38 0.24 0.53 0.41 0.33 0.67 0.21 0.5 0.3 0.45 0.2 0.37 0.09 0.38 0.47 0.36 0.63
3_sex( 0.62 0.2 0.33 0.52 0.56 0.67 0.54 0.55 0.28 0.5 0.41 0.35 0.42 0.47 0.17 0.31 0.72 0.5 0.22 0.26 0.51 0.27 0.49 0.47 0.23
3_race( 0.62 0.2 0.33 0.52 0.56 0.67 0.54 0.55 0.28 0.5 0.41 0.35 0.42 0.47 0.17 0.31 0.72 0.5 0.22 0.26 0.51 0.27 0.49 0.47 0.23
5_sex( 0.62 0.52 0.37 0.09 0.35 0.31 0.54 0.39 0.45 0.56 0.55 0.49 0.44 0.36 0.3 0.62 0.67 0.47 0.52 0.54 0.53 0.24 0.33 0.6 0.6
5_race( 0.62 0.52 0.37 0.09 0.35 0.31 0.54 0.39 0.45 0.56 0.55 0.49 0.44 0.36 0.3 0.62 0.67 0.47 0.52 0.54 0.53 0.24 0.33 0.6 0.6
732_sex( 0.53 0.48 0.57 0.55 0.65 0.55 0.54 0.53 0.55 0.56 0.55 0.54 0.58 0.62 0.53 0.54 0.67 0.5 0.52 0.59 0.47 0.58 0.56 0.56 0.44
732_race( 0.53 0.48 0.57 0.55 0.65 0.55 0.54 0.53 0.55 0.56 0.55 0.54 0.58 0.62 0.53 0.54 0.67 0.5 0.52 0.59 0.47 0.58 0.56 0.56 0.44
